  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kugrua Test Well #1 
  File name:   KAG_84AUG06_c_d 
  Log date:    06-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.80  -9.186
 13.11  -9.156
 13.41  -9.125
 13.72  -9.096
 14.02  -9.069
 14.33  -9.044
 14.63  -9.020
 14.94  -8.996
 15.24  -8.971
 15.54  -8.946
 15.85  -8.922
 16.15  -8.898
 16.46  -8.873
 16.76  -8.849
 17.07  -8.825
 17.37  -8.801
 17.68  -8.778
 17.98  -8.755
 18.29  -8.731
 18.59  -8.707
 19.20  -8.655
 19.51  -8.629
 19.81  -8.603
 20.12  -8.577
 20.42  -8.551
 20.73  -8.526
 21.03  -8.502
 21.34  -8.479
 21.64  -8.456
 21.95  -8.435
 22.25  -8.414
 22.56  -8.394
 22.86  -8.374
 23.16  -8.355
 23.47  -8.337
 23.77  -8.319
 24.08  -8.303
 24.38  -8.287
 24.69  -8.271
 24.99  -8.256
 25.30  -8.241
 25.60  -8.227
 25.91  -8.212
 26.21  -8.198
 26.52  -8.183
 26.82  -8.168
 27.13  -8.153
 27.43  -8.139
 27.74  -8.124
 28.04  -8.109
 28.35  -8.095
 28.65  -8.080
 28.96  -8.064
 29.26  -8.049
 29.57  -8.034
 29.87  -8.020
 30.18  -8.005
 30.48  -7.991
 30.78  -7.978
 31.09  -7.966
 31.39  -7.954
 31.70  -7.943
 32.00  -7.932
 32.31  -7.922
 32.61  -7.912
 32.92  -7.903
 33.22  -7.894
 33.53  -7.887
 33.83  -7.880
 34.14  -7.873
 34.44  -7.867
 34.75  -7.861
 35.05  -7.856
 35.36  -7.851
 35.66  -7.845
 35.97  -7.840
 36.27  -7.834
 36.58  -7.828
 36.88  -7.823
 37.19  -7.817
 37.49  -7.811
 37.80  -7.806
 38.10  -7.800
 38.40  -7.794
 38.71  -7.789
 39.01  -7.783
 39.32  -7.777
 39.62  -7.771
 39.93  -7.766
 40.23  -7.760
 40.54  -7.754
 40.84  -7.749
 41.15  -7.744
 41.45  -7.739
 41.76  -7.734
 42.06  -7.729
 42.37  -7.725
 42.67  -7.720
 42.98  -7.715
 43.28  -7.710
 43.59  -7.706
 43.89  -7.701
 44.20  -7.696
 44.50  -7.692
 44.81  -7.687
 45.11  -7.682
 45.42  -7.677
 45.72  -7.672
 46.02  -7.667
 46.33  -7.662
 46.63  -7.657
 46.94  -7.652
 47.24  -7.647
 47.55  -7.641
 47.85  -7.636
 48.16  -7.630
 48.46  -7.624
 48.77  -7.619
 49.07  -7.613
 49.38  -7.607
 49.68  -7.601
 49.99  -7.595
 50.29  -7.589
 50.60  -7.583
 50.90  -7.577
 51.21  -7.571
 51.51  -7.565
 51.82  -7.559
 52.12  -7.553
 52.43  -7.547
 52.73  -7.541
 53.04  -7.535
 53.34  -7.530
 53.64  -7.524
 53.95  -7.518
 54.25  -7.512
 54.56  -7.506
 54.86  -7.500
 55.17  -7.494
 55.47  -7.488
 55.78  -7.482
 56.08  -7.475
 56.39  -7.469
 56.69  -7.462
 57.00  -7.456
 57.30  -7.449
 57.61  -7.442
 57.91  -7.435
 58.22  -7.428
 58.52  -7.421
 58.83  -7.414
 59.13  -7.406
 59.44  -7.399
 59.74  -7.392
 60.05  -7.384
 60.35  -7.377
 60.66  -7.370
 60.96  -7.362
 61.26  -7.355
 61.57  -7.348
 61.87  -7.341
 62.18  -7.334
 62.48  -7.327
 62.79  -7.320
 63.09  -7.313
 63.40  -7.306
 63.70  -7.299
 64.01  -7.292
 64.31  -7.285
 64.62  -7.279
 64.92  -7.271
 65.23  -7.264
 65.53  -7.257
 65.84  -7.249
 66.14  -7.242
 66.45  -7.234
 66.75  -7.226
 67.06  -7.218
 67.36  -7.210
 67.67  -7.202
 67.97  -7.193
 68.28  -7.185
 68.58  -7.176
 68.88  -7.167
 69.19  -7.159
 69.49  -7.150
 69.80  -7.141
 70.10  -7.132
 70.41  -7.123
 70.71  -7.115
 71.02  -7.106
 71.63  -7.088
 71.93  -7.079
 72.24  -7.070
 72.54  -7.061
 72.85  -7.053
 73.15  -7.044
 73.46  -7.035
 73.76  -7.026
 74.07  -7.017
 74.37  -7.007
 74.68  -6.998
 74.98  -6.989
 75.29  -6.980
 75.59  -6.970
 75.90  -6.961
 76.20  -6.951
 76.50  -6.942
 76.81  -6.932
 77.11  -6.922
 77.42  -6.912
 77.72  -6.902
 78.03  -6.892
 78.33  -6.882
 78.64  -6.872
 78.94  -6.862
 79.25  -6.852
 79.55  -6.842
 79.86  -6.832
 80.16  -6.822
 80.47  -6.812
 80.77  -6.802
 81.08  -6.792
 81.38  -6.782
 81.69  -6.772
 81.99  -6.762
 82.30  -6.752
 82.60  -6.742
 82.91  -6.732
 83.21  -6.722
 83.52  -6.712
 83.82  -6.702
 84.12  -6.692
 84.43  -6.682
 84.73  -6.672
