  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Simpson Test Well #1 
  File name:   ESN_89JUL23_c_d 
  Log date:    23-JUL-1989 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 17.07  -9.860
 17.27  -9.858
 17.48  -9.855
 17.68  -9.852
 17.88  -9.849
 18.08  -9.846
 18.29  -9.842
 18.49  -9.839
 18.69  -9.836
 18.90  -9.832
 19.10  -9.829
 19.30  -9.825
 19.51  -9.822
 19.71  -9.818
 19.91  -9.814
 20.12  -9.811
 20.32  -9.807
 20.52  -9.803
 20.73  -9.799
 20.93  -9.795
 21.13  -9.791
 21.34  -9.787
 21.54  -9.783
 21.74  -9.779
 21.95  -9.775
 22.15  -9.770
 22.35  -9.766
 22.56  -9.762
 22.76  -9.758
 22.96  -9.754
 23.16  -9.749
 23.37  -9.745
 23.57  -9.741
 23.77  -9.737
 23.98  -9.732
 24.18  -9.728
 24.38  -9.723
 24.59  -9.719
 24.79  -9.714
 24.99  -9.710
 25.20  -9.705
 25.40  -9.700
 25.60  -9.695
 25.81  -9.691
 26.01  -9.686
 26.21  -9.681
 26.42  -9.676
 26.62  -9.672
 26.82  -9.667
 27.03  -9.662
 27.23  -9.657
 27.43  -9.652
 27.64  -9.647
 27.84  -9.642
 28.04  -9.637
 28.24  -9.632
 28.45  -9.627
 28.65  -9.623
 28.85  -9.618
 29.06  -9.613
 29.26  -9.608
 29.46  -9.603
 29.67  -9.598
 29.87  -9.593
 30.07  -9.588
 30.28  -9.583
 30.48  -9.578
 30.68  -9.573
 30.89  -9.568
 31.09  -9.563
 33.73  -9.506
 33.93  -9.502
 34.14  -9.498
 34.34  -9.494
 34.54  -9.489
 34.75  -9.485
 34.95  -9.481
 35.15  -9.477
 35.36  -9.473
 35.56  -9.468
 35.76  -9.464
 35.97  -9.460
 36.17  -9.455
 36.37  -9.451
 36.58  -9.447
 36.78  -9.442
 36.98  -9.438
 37.19  -9.433
 37.39  -9.428
 37.59  -9.423
 37.80  -9.418
 38.00  -9.413
 38.20  -9.408
 38.40  -9.403
 38.61  -9.398
 38.81  -9.393
 39.01  -9.388
 39.22  -9.383
 39.42  -9.379
 39.62  -9.374
 39.83  -9.369
 40.03  -9.365
 40.23  -9.360
 40.44  -9.355
 40.64  -9.351
 40.84  -9.346
 41.05  -9.342
 41.25  -9.337
 41.45  -9.333
 41.66  -9.329
 41.86  -9.324
 42.06  -9.320
 42.27  -9.316
 42.47  -9.312
 42.67  -9.308
 42.88  -9.304
 43.08  -9.300
 43.28  -9.297
 43.48  -9.293
 43.69  -9.289
 43.89  -9.285
 44.09  -9.282
 44.30  -9.278
 44.50  -9.274
 44.70  -9.270
 44.91  -9.266
 45.11  -9.263
 45.31  -9.259
 45.52  -9.255
 45.72  -9.251
 45.92  -9.248
 46.13  -9.244
 46.33  -9.240
 46.53  -9.237
 46.74  -9.233
 46.94  -9.230
 47.14  -9.226
 47.35  -9.222
 47.55  -9.219
 47.75  -9.215
 47.96  -9.212
 48.16  -9.208
 48.36  -9.204
 48.56  -9.201
 48.77  -9.197
