  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_89JUL07_c_d 
  Log date:    07-JUL-1989 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -9.719
 12.50  -9.718
 12.80  -9.717
 13.11  -9.716
 13.41  -9.715
 13.72  -9.714
 14.02  -9.713
 14.33  -9.713
 14.63  -9.712
 14.94  -9.712
 15.24  -9.711
 15.54  -9.711
 15.85  -9.711
 16.15  -9.711
 16.46  -9.711
 16.76  -9.711
 17.07  -9.711
 17.37  -9.711
 17.68  -9.711
 17.98  -9.712
 18.29  -9.712
 18.59  -9.712
 18.90  -9.712
 19.20  -9.713
 19.51  -9.713
 19.81  -9.713
 20.12  -9.713
 20.42  -9.713
 20.73  -9.713
 21.03  -9.713
 21.34  -9.713
 21.64  -9.713
 21.95  -9.712
 22.25  -9.712
 22.56  -9.711
 22.86  -9.710
 23.16  -9.709
 23.47  -9.708
 23.77  -9.707
 24.08  -9.705
 24.38  -9.704
 24.69  -9.702
 24.99  -9.700
 25.30  -9.697
 25.60  -9.695
 25.91  -9.692
 26.21  -9.689
 26.52  -9.686
 26.82  -9.683
 27.13  -9.679
 27.43  -9.675
 27.74  -9.671
 28.04  -9.667
 28.35  -9.662
 28.65  -9.657
 28.96  -9.652
 29.57  -9.640
 29.87  -9.635
 30.18  -9.629
 30.48  -9.623
 30.78  -9.618
 31.09  -9.612
 31.39  -9.606
 31.70  -9.600
 32.00  -9.594
 32.31  -9.588
 32.61  -9.582
 32.92  -9.576
 33.22  -9.570
 33.53  -9.564
 33.83  -9.558
 34.14  -9.552
 34.44  -9.546
 34.75  -9.540
 35.05  -9.534
 35.36  -9.528
 35.66  -9.521
 35.97  -9.515
 36.27  -9.509
 36.58  -9.503
 36.88  -9.497
 37.19  -9.490
 37.49  -9.484
 37.80  -9.478
 38.10  -9.472
 38.40  -9.467
 38.71  -9.461
 39.01  -9.455
 39.32  -9.449
 39.62  -9.443
 39.93  -9.437
 40.23  -9.432
 40.54  -9.426
 40.84  -9.420
 41.15  -9.414
 41.45  -9.408
 41.76  -9.402
 42.06  -9.396
 42.37  -9.390
 42.67  -9.384
 42.98  -9.378
 43.28  -9.372
 43.59  -9.366
 43.89  -9.360
 44.20  -9.354
 44.50  -9.347
 44.81  -9.342
 45.11  -9.336
 45.42  -9.330
 45.72  -9.324
 46.02  -9.318
 46.33  -9.313
 46.63  -9.307
 46.94  -9.302
 47.24  -9.296
 47.55  -9.291
 47.85  -9.285
 48.16  -9.280
 48.46  -9.275
 48.77  -9.270
 49.07  -9.265
 49.38  -9.260
 49.68  -9.255
 49.99  -9.250
 50.29  -9.245
 50.60  -9.239
 50.90  -9.234
 51.21  -9.230
 51.51  -9.225
 51.82  -9.220
 52.12  -9.215
 52.43  -9.210
 52.73  -9.205
 53.04  -9.200
 53.34  -9.195
 53.64  -9.190
 53.95  -9.186
 54.25  -9.181
 54.56  -9.176
 54.86  -9.172
 55.17  -9.167
 55.47  -9.163
 55.78  -9.159
 56.08  -9.155
 56.39  -9.151
 56.69  -9.147
 57.00  -9.143
 57.30  -9.139
 57.61  -9.136
 57.91  -9.132
 58.22  -9.129
 58.52  -9.125
 58.83  -9.122
 59.13  -9.119
 59.44  -9.115
 59.74  -9.112
 60.05  -9.109
 60.35  -9.105
 60.66  -9.102
 60.96  -9.099
 61.26  -9.096
 61.57  -9.093
 61.87  -9.090
 62.18  -9.087
 62.48  -9.084
 62.79  -9.081
 63.09  -9.078
 63.40  -9.075
 63.70  -9.072
 64.01  -9.069
 64.31  -9.066
 64.62  -9.063
 65.23  -9.057
 65.53  -9.054
 65.84  -9.051
 66.14  -9.048
 66.45  -9.045
 66.75  -9.042
 67.06  -9.039
 67.36  -9.036
 67.67  -9.033
 67.97  -9.030
 68.28  -9.026
 68.58  -9.023
 68.88  -9.020
 69.19  -9.017
 69.49  -9.014
 69.80  -9.010
 70.10  -9.007
 70.41  -9.004
 70.71  -9.000
 71.02  -8.997
 71.32  -8.994
 71.63  -8.990
 71.93  -8.987
 72.24  -8.983
 72.54  -8.980
 72.85  -8.976
 73.15  -8.973
 73.46  -8.969
 73.76  -8.965
 74.07  -8.962
 74.37  -8.958
 74.68  -8.955
 74.98  -8.951
 75.29  -8.947
