  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
  File name:   DRP_83SEP05 
  Log date:    05-SEP-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 36.58  -9.108
 42.67  -9.049
 48.77  -8.963
 54.86  -8.859
 60.96  -8.739
 67.06  -8.611
 73.15  -8.493
 79.25  -8.349
 85.34  -8.189
 91.44  -8.008
 97.54  -7.791
103.63  -7.627
109.73  -7.429
115.82  -7.258
121.92  -7.040
128.02  -6.835
134.11  -6.630
140.21  -6.435
146.30  -6.244
152.40  -6.047
158.50  -5.845
164.59  -5.669
170.69  -5.481
176.78  -5.289
182.88  -5.101
188.98  -4.906
195.07  -4.714
201.17  -4.523
207.26  -4.342
213.36  -4.155
219.46  -3.977
225.55  -3.802
231.65  -3.606
237.74  -3.419
243.84  -3.203
249.94  -2.998
256.03  -2.763
262.13  -2.522
268.22  -2.264
274.32  -2.020
280.42  -1.770
286.51  -1.478
292.61  -1.178
304.80  -0.638
310.90  -0.357
316.99  -0.055
323.09   0.249
329.18   0.535
335.28   0.876
341.38   1.176
347.47   1.498
353.57   1.831
359.66   2.111
365.76   2.385
371.86   2.614
377.95   2.835
384.05   3.111
390.14   3.337
396.24   3.573
402.34   3.825
408.43   4.049
414.53   4.291
420.62   4.522
426.72   4.781
432.82   4.977
438.91   5.171
445.01   5.365
451.10   5.549
457.20   5.760
463.30   5.978
469.39   6.156
475.49   6.355
481.58   6.539
487.68   6.740
493.78   6.958
499.87   7.198
505.97   7.446
512.07   7.641
518.16   7.901
524.26   8.118
530.35   8.306
536.45   8.502
542.55   8.734
548.64   8.960
554.74   9.189
560.83   9.437
566.93   9.657
573.03   9.867
579.12  10.104
585.22  10.315
591.31  10.579
597.41  10.813
603.51  11.050
609.60  11.310
612.65  11.411
615.70  11.533
