  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Teshekpuk Test Well #1 
  File name:   ETK_79SEP12 
  Log date:    12-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -9.564
 15.24  -9.446
 18.29  -9.345
 21.34  -9.230
 24.38  -9.128
 27.43  -9.039
 30.48  -8.963
 33.53  -8.885
 36.58  -8.822
 39.62  -8.763
 42.67  -8.690
 45.72  -8.627
 48.77  -8.553
 51.82  -8.490
 54.86  -8.395
 57.91  -8.318
 60.96  -8.231
 64.01  -8.115
 67.06  -8.024
 70.10  -7.922
 73.15  -7.821
 76.20  -7.714
 79.25  -7.599
 82.30  -7.504
 85.34  -7.392
 88.39  -7.261
 91.44  -7.132
 94.49  -7.021
 97.54  -6.891
100.58  -6.764
103.63  -6.633
106.68  -6.524
109.73  -6.388
112.78  -6.278
115.82  -6.129
118.87  -5.944
121.92  -5.762
124.97  -5.590
128.02  -5.408
131.06  -5.247
134.11  -5.099
137.16  -4.922
140.21  -4.777
143.26  -4.617
146.30  -4.443
149.35  -4.272
152.40  -4.131
155.45  -3.994
158.50  -3.845
161.54  -3.712
164.59  -3.561
167.64  -3.418
170.69  -3.289
173.74  -3.153
176.78  -3.031
179.83  -2.931
182.88  -2.815
185.93  -2.694
188.98  -2.588
192.02  -2.475
195.07  -2.360
198.12  -2.266
201.17  -2.161
204.22  -2.063
207.26  -1.954
210.31  -1.838
213.36  -1.712
216.41  -1.601
219.46  -1.476
222.50  -1.354
225.55  -1.215
228.60  -1.056
231.65  -0.930
234.70  -0.798
237.74  -0.672
240.79  -0.564
243.84  -0.458
246.89  -0.395
249.94  -0.047
252.98   0.052
256.03   0.137
259.08   0.226
262.13   0.311
265.18   0.386
268.22   0.790
271.27   0.896
274.32   1.004
277.37   1.112
280.42   1.245
283.46   1.380
286.51   1.495
289.56   1.657
292.61   1.797
295.66   1.918
298.70   2.097
301.75   2.215
304.80   2.366
307.85   2.509
310.90   2.648
313.94   2.778
316.99   2.887
320.04   3.020
323.09   3.144
326.14   3.275
329.18   3.393
332.23   3.511
335.28   3.627
338.33   3.743
341.38   3.891
344.42   3.995
347.47   4.120
350.52   4.279
353.57   4.386
356.62   4.506
359.66   4.618
362.71   4.747
365.76   4.864
368.81   5.000
371.86   5.111
374.90   5.249
377.95   5.362
381.00   5.475
384.05   5.631
387.10   5.754
390.14   5.882
393.19   6.015
396.24   6.130
399.29   6.268
402.34   6.402
405.38   6.529
408.43   6.663
411.48   6.786
414.53   6.937
417.58   7.089
420.62   7.198
423.67   7.356
426.72   7.475
429.77   7.604
432.82   7.749
454.15   8.895
457.20   9.044
460.25   9.227
463.30   9.334
466.34   9.526
469.39   9.710
472.44   9.857
475.49   9.993
478.54  10.143
481.58  10.249
484.63  10.382
487.68  10.485
490.73  10.602
493.78  10.717
496.82  10.847
499.87  10.966
502.92  11.076
505.97  11.218
509.02  11.357
512.07  11.460
515.11  11.620
518.16  11.742
521.21  11.885
524.26  12.006
527.31  12.167
530.35  12.285
533.40  12.419
536.45  12.553
539.50  12.654
542.55  12.753
545.59  12.882
548.64  12.974
551.69  13.077
554.74  13.175
557.79  13.303
560.83  13.413
563.88  13.521
566.93  13.608
569.98  13.714
573.03  13.822
576.07  13.949
579.12  14.063
582.17  14.195
585.22  14.298
588.27  14.416
591.31  14.555
594.36  14.669
597.41  14.814
600.46  14.959
603.51  15.111
606.55  15.210
609.60  15.337
612.65  15.477
615.70  15.579
618.75  15.710
621.79  15.825
624.84  15.970
627.89  16.054
630.94  16.176
633.99  16.284
637.03  16.398
640.08  16.536
643.13  16.667
646.18  16.783
649.23  16.937
652.27  17.076
655.32  17.202
658.37  17.313
661.42  17.439
664.47  17.555
667.51  17.676
670.56  17.832
673.61  17.976
676.66  18.105
679.71  18.242
682.75  18.358
685.80  18.490
688.85  18.625
691.90  18.767
694.95  18.871
697.99  19.034
701.04  19.147
704.09  19.286
707.14  19.395
710.19  19.527
