  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Simpson Test Well #1 
  File name:   ESN_80SEP13 
  Log date:    13-SEP-1980 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
  9.14  -8.534
 12.19  -8.986
 15.24  -9.175
 18.29  -9.203
 21.34  -9.180
 24.38  -9.141
 27.43  -9.077
 30.48  -9.016
 33.53  -8.959
 36.58  -8.912
 39.62  -8.865
 42.67  -8.817
 45.72  -8.772
 48.77  -8.711
 51.82  -8.671
 54.86  -8.617
 57.91  -8.550
 60.96  -8.486
 64.01  -8.404
 67.06  -8.317
 70.10  -8.232
 73.15  -8.146
 76.20  -8.074
 79.25  -7.999
 82.30  -7.938
 85.34  -7.864
 88.39  -7.783
 91.44  -7.697
 94.49  -7.597
 97.54  -7.516
100.58  -7.427
103.63  -7.340
106.68  -7.242
109.73  -7.136
112.78  -7.055
115.82  -6.958
118.87  -6.899
121.92  -6.820
124.97  -6.736
128.02  -6.719
131.06  -6.572
134.11  -6.458
137.16  -6.390
140.21  -6.303
143.26  -6.219
146.30  -6.144
149.35  -6.063
152.40  -5.994
155.45  -5.927
158.50  -5.876
161.54  -5.812
164.59  -5.740
167.64  -5.666
170.69  -5.569
173.74  -5.499
176.78  -5.413
179.83  -5.272
182.88  -5.221
185.93  -5.057
188.98  -4.937
192.02  -4.837
195.07  -4.704
198.12  -4.615
201.17  -4.526
204.22  -4.425
207.26  -4.328
210.31  -4.256
213.36  -4.181
216.41  -4.086
219.46  -4.037
222.50  -3.963
225.55  -3.888
228.60  -3.836
231.65  -3.776
234.70  -3.713
237.74  -3.622
240.79  -3.540
243.84  -3.458
246.89  -3.362
249.94  -3.275
252.98  -3.203
256.03  -3.133
259.08  -3.073
262.13  -3.023
265.18  -2.975
268.22  -2.939
271.27  -2.888
274.32  -2.810
277.37  -2.698
280.42  -2.592
283.46  -2.502
286.51  -2.383
289.56  -2.278
292.61  -2.149
295.66  -2.010
298.70  -1.909
301.75  -1.844
304.80  -1.759
307.85  -1.668
310.90  -1.549
313.94  -1.451
316.99  -1.356
320.04  -1.222
323.09  -1.105
326.14  -1.019
329.18  -0.924
332.23  -0.792
335.28  -0.666
338.33  -0.502
341.38  -0.376
344.42  -0.269
347.47  -0.145
350.52  -0.013
353.57   0.117
356.62   0.238
359.66   0.349
362.71   0.493
365.76   0.630
368.81   0.751
371.86   0.882
374.90   1.009
377.95   1.134
381.00   1.241
384.05   1.364
387.10   1.492
390.14   1.626
393.19   1.740
396.24   1.802
399.29   2.000
402.34   2.137
405.38   2.274
408.43   2.370
411.48   2.467
414.53   2.600
417.58   2.709
420.62   2.764
423.67   2.923
426.72   3.027
429.77   3.140
432.82   3.246
435.86   3.346
438.91   3.457
441.96   3.590
445.01   3.700
448.06   3.796
451.10   3.906
454.15   4.048
457.20   4.172
460.25   4.290
463.30   4.391
466.34   4.504
469.39   4.615
472.44   4.729
475.49   4.857
478.54   4.964
481.58   5.104
484.63   5.217
487.68   5.341
490.73   5.463
493.78   5.606
496.82   5.737
499.87   5.855
502.92   5.969
505.97   6.097
509.02   6.247
512.07   6.379
515.11   6.490
518.16   6.640
521.21   6.775
524.26   6.915
527.31   7.060
530.35   7.170
533.40   7.307
536.45   7.493
539.50   7.598
542.55   7.745
545.59   7.884
548.64   7.990
551.69   8.101
554.74   8.239
557.79   8.358
560.83   8.443
563.88   8.566
