  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
  File name:   DRP_79SEP13 
  Log date:    13-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 42.67  -8.622
 45.72  -8.590
 48.77  -8.543
 51.82  -8.495
 54.86  -8.458
 57.91  -8.387
 60.96  -8.343
 64.01  -8.285
 67.06  -8.191
 70.10  -8.142
 73.15  -8.083
 76.20  -8.016
 79.25  -7.959
 82.30  -7.861
 85.34  -7.773
 88.39  -7.675
 91.44  -7.586
 94.49  -7.468
 97.54  -7.376
100.58  -7.283
103.63  -7.180
106.68  -7.088
109.73  -6.991
112.78  -6.881
115.82  -6.792
118.87  -6.684
121.92  -6.593
124.97  -6.500
128.02  -6.388
131.06  -6.293
134.11  -6.199
137.16  -6.072
140.21  -6.004
143.26  -5.929
146.30  -5.821
149.35  -5.744
152.40  -5.637
155.45  -5.535
158.50  -5.446
161.54  -5.337
164.59  -5.254
167.64  -5.160
170.69  -5.076
173.74  -4.989
176.78  -4.906
179.83  -4.821
182.88  -4.738
185.93  -4.622
188.98  -4.537
192.02  -4.433
195.07  -4.353
198.12  -4.243
201.17  -4.156
204.22  -4.055
207.26  -3.975
210.31  -3.886
213.36  -3.794
216.41  -3.728
219.46  -3.639
222.50  -3.564
225.55  -3.478
228.60  -3.396
231.65  -3.317
234.70  -3.242
237.74  -3.167
240.79  -3.068
243.84  -2.998
246.89  -2.904
249.94  -2.809
252.98  -2.720
256.03  -2.596
259.08  -2.495
262.13  -2.388
265.18  -2.268
268.22  -2.142
271.27  -2.011
274.32  -1.850
277.37  -1.715
280.42  -1.556
283.46  -1.388
286.51  -1.246
289.56  -1.117
292.61  -0.962
295.66  -0.832
298.70  -0.694
301.75  -0.563
304.80  -0.426
307.85  -0.228
310.90  -0.062
313.94   0.086
316.99   0.225
320.04   0.344
323.09   0.517
326.14   0.648
329.18   0.840
332.23   0.979
335.28   1.142
338.33   1.284
341.38   1.459
344.42   1.594
347.47   1.752
350.52   1.912
353.57   2.084
356.62   2.244
359.66   2.378
362.71   2.494
365.76   2.637
368.81   2.767
371.86   2.904
374.90   3.026
377.95   3.129
381.00   3.254
384.05   3.369
387.10   3.484
390.14   3.583
393.19   3.691
396.24   3.838
399.29   3.951
402.34   4.052
405.38   4.161
408.43   4.311
411.48   4.423
414.53   4.521
417.58   4.627
420.62   4.776
423.67   4.867
426.72   4.990
429.77   5.103
432.82   5.213
435.86   5.316
438.91   5.410
441.96   5.491
445.01   5.600
448.06   5.682
451.10   5.774
454.15   5.871
457.20   5.986
460.25   6.091
463.30   6.195
466.34   6.297
469.39   6.388
472.44   6.471
475.49   6.562
478.54   6.661
481.58   6.755
484.63   6.857
487.68   6.955
490.73   7.043
493.78   7.151
496.82   7.263
499.87   7.369
502.92   7.483
505.97   7.595
509.02   7.743
512.07   7.848
515.11   7.946
518.16   8.061
521.21   8.183
524.26   8.305
527.31   8.409
530.35   8.517
533.40   8.608
536.45   8.708
539.50   8.818
542.55   8.924
545.59   9.056
548.64   9.169
551.69   9.294
554.74   9.392
557.79   9.501
560.83   9.595
563.88   9.725
566.93   9.840
569.98   9.948
573.03  10.057
576.07  10.170
579.12  10.263
582.17  10.395
585.22  10.501
588.27  10.612
591.31  10.733
594.36  10.860
597.41  10.975
600.46  11.104
603.51  11.225
606.55  11.343
609.60  11.474
612.65  11.597
615.70  11.723
