  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_78SEP15 
  Log date:    15-SEP-1978 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -8.898
 15.24  -8.902
 18.29  -8.897
 21.34  -8.881
 24.38  -8.844
 27.43  -8.796
 30.48  -8.718
 33.53  -8.606
 36.58  -8.533
 39.62  -8.451
 42.67  -8.414
 45.72  -8.414
 48.77  -8.431
 51.82  -8.471
 54.86  -8.487
 57.91  -8.493
 60.96  -8.489
 64.01  -8.471
 67.06  -8.443
 70.10  -8.405
 73.15  -8.369
 76.20  -8.259
 79.25  -8.178
 82.30  -8.108
 85.34  -8.050
 88.39  -7.989
 91.44  -7.924
 94.49  -7.812
 97.54  -7.742
100.58  -7.619
103.63  -7.522
106.68  -7.457
109.73  -7.344
112.78  -7.268
115.82  -7.189
118.87  -7.122
121.92  -7.050
124.97  -6.993
128.02  -6.920
131.06  -6.860
134.11  -6.787
137.16  -6.713
140.21  -6.620
143.26  -6.516
146.30  -6.399
149.35  -6.290
152.40  -6.171
155.45  -6.044
158.50  -5.932
161.54  -5.821
164.59  -5.727
167.64  -5.601
170.69  -5.510
173.74  -5.423
176.78  -5.342
179.83  -5.238
182.88  -5.177
185.93  -5.075
188.98  -4.971
192.02  -4.898
195.07  -4.766
198.12  -4.661
201.17  -4.582
204.22  -4.486
207.26  -4.398
210.31  -4.274
213.36  -4.175
216.41  -4.098
219.46  -4.019
222.50  -3.917
225.55  -3.796
228.60  -3.726
231.65  -3.605
234.70  -3.487
237.74  -3.378
240.79  -3.281
243.84  -3.183
246.89  -3.087
249.94  -3.009
252.98  -2.927
256.03  -2.837
