  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Tunalik Test Well #1 
  File name:   TLK_81AUG29 
  Log date:    29-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 21.34  -6.202
 24.38  -6.161
 27.43  -6.011
 30.48  -5.879
 33.53  -5.813
 36.58  -5.776
 39.62  -5.739
 42.67  -5.725
 45.72  -5.725
 48.77  -5.727
 51.82  -5.677
 54.86  -5.578
 57.91  -5.507
 60.96  -5.500
 64.01  -5.636
 67.06  -5.690
 70.10  -5.649
 73.15  -5.537
 76.20  -5.361
 79.25  -5.107
 82.30  -4.904
 85.34  -4.728
 88.39  -4.626
 91.44  -4.564
 94.49  -4.506
 97.54  -4.445
100.58  -4.353
103.63  -4.238
106.68  -4.058
109.73  -3.910
112.78  -3.788
115.82  -3.733
118.87  -3.686
121.92  -3.599
124.97  -3.470
128.02  -3.330
131.06  -3.226
134.11  -3.108
137.16  -3.054
140.21  -3.039
143.26  -3.026
146.30  -2.977
149.35  -2.918
152.40  -2.856
155.45  -2.786
158.50  -2.725
161.54  -2.673
164.59  -2.636
167.64  -2.578
170.69  -2.543
173.74  -2.525
176.78  -2.516
179.83  -2.471
182.88  -2.386
185.93  -2.240
188.98  -2.086
192.02  -1.984
195.07  -1.904
198.12  -1.792
201.17  -1.670
204.22  -1.508
207.26  -1.371
210.31  -1.225
213.36  -1.055
216.41  -0.854
219.46  -0.731
222.50  -0.710
225.55  -0.834
228.60  -0.874
231.65  -0.847
234.70  -0.808
237.74  -0.733
240.79  -0.610
243.84  -0.432
246.89  -0.297
249.94  -0.098
252.98   0.035
256.03   0.159
259.08   0.274
262.13   0.418
265.18   0.607
268.22   0.864
271.27   1.118
274.32   1.364
277.37   1.696
280.42   1.961
283.46   2.157
286.51   2.305
289.56   2.448
292.61   2.569
295.66   2.700
298.70   2.827
301.75   2.922
304.80   3.014
307.85   3.063
310.90   3.149
313.94   3.234
316.99   3.281
320.04   3.445
323.09   3.590
326.14   3.694
329.18   3.800
332.23   3.907
335.28   4.004
338.33   4.142
341.38   4.275
344.42   4.454
347.47   4.544
350.52   4.604
353.57   4.658
356.62   4.723
359.66   4.823
362.71   4.926
365.76   5.051
368.81   5.165
371.86   5.271
374.90   5.370
377.95   5.471
381.00   5.562
384.05   5.683
387.10   5.804
390.14   5.888
393.19   5.971
396.24   6.036
399.29   6.136
402.34   6.225
405.38   6.333
408.43   6.450
411.48   6.590
414.53   6.698
417.58   6.831
420.62   6.999
423.67   7.152
426.72   7.291
429.77   7.426
432.82   7.547
435.86   7.638
438.91   7.989
441.96   8.027
445.01   8.086
448.06   8.169
451.10   8.278
454.15   8.382
457.20   8.480
460.25   8.570
463.30   8.684
466.34   8.775
469.39   8.881
472.44   8.983
475.49   9.090
478.54   9.227
481.58   9.347
484.63   9.476
487.68   9.599
490.73   9.697
493.78   9.754
496.82   9.782
499.87   9.860
502.92   9.905
505.97  10.008
509.02  10.096
512.07  10.261
515.11  10.370
518.16  10.523
521.21  10.658
524.26  10.789
527.31  10.884
530.35  11.009
