  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Meade Test Well #1 
  File name:   SME_84AUG04_c_d 
  Log date:    04-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.80  -9.924
 13.11  -9.855
 13.41  -9.785
 13.72  -9.719
 14.02  -9.659
 14.33  -9.605
 14.63  -9.554
 14.94  -9.504
 15.24  -9.452
 15.54  -9.401
 15.85  -9.352
 16.15  -9.304
 16.76  -9.209
 17.07  -9.163
 17.37  -9.118
 17.68  -9.075
 17.98  -9.033
 18.29  -8.992
 18.59  -8.952
 18.90  -8.911
 19.20  -8.870
 19.51  -8.830
 19.81  -8.790
 20.12  -8.752
 20.42  -8.714
 20.73  -8.677
 21.03  -8.640
 21.34  -8.605
 21.64  -8.570
 21.95  -8.537
 22.25  -8.504
 22.56  -8.471
 22.86  -8.440
 23.16  -8.409
 23.47  -8.379
 23.77  -8.350
 24.08  -8.322
 24.38  -8.294
 24.69  -8.268
 24.99  -8.241
 25.30  -8.215
 25.60  -8.190
 25.91  -8.164
 26.21  -8.139
 26.52  -8.114
 26.82  -8.089
 27.13  -8.064
 27.43  -8.040
 27.74  -8.016
 28.04  -7.991
 28.35  -7.967
 28.65  -7.942
 28.96  -7.917
 29.26  -7.891
 29.57  -7.867
 29.87  -7.842
 30.18  -7.818
 30.48  -7.795
 30.78  -7.773
 31.09  -7.753
 31.39  -7.735
 31.70  -7.717
 32.00  -7.700
 32.31  -7.684
 32.61  -7.668
 32.92  -7.652
 33.22  -7.637
 33.53  -7.621
 33.83  -7.606
 34.14  -7.591
 34.44  -7.576
 34.75  -7.561
 35.05  -7.546
 35.36  -7.531
 35.66  -7.516
 35.97  -7.502
 36.27  -7.487
 36.58  -7.472
 36.88  -7.457
 37.19  -7.441
 37.49  -7.425
 37.80  -7.409
 38.10  -7.391
 38.40  -7.371
 38.71  -7.351
 39.01  -7.329
 39.32  -7.308
 39.62  -7.286
 39.93  -7.265
 40.23  -7.243
 40.54  -7.222
 40.84  -7.202
 41.15  -7.183
 41.45  -7.165
 41.76  -7.147
 42.06  -7.129
 42.37  -7.112
 42.67  -7.095
 42.98  -7.079
 43.28  -7.064
 43.59  -7.050
 43.89  -7.036
 44.20  -7.023
 44.50  -7.009
 44.81  -6.996
 45.11  -6.982
 45.42  -6.968
 45.72  -6.953
 46.02  -6.938
 46.33  -6.921
 46.63  -6.905
 46.94  -6.888
 47.24  -6.871
 47.55  -6.853
 47.85  -6.835
 48.16  -6.816
 48.46  -6.796
 48.77  -6.776
 49.07  -6.756
 49.38  -6.735
 49.68  -6.715
 49.99  -6.694
 50.29  -6.674
 50.60  -6.655
 50.90  -6.635
 51.21  -6.617
 51.51  -6.598
 51.82  -6.580
 52.12  -6.562
 52.43  -6.544
 52.73  -6.526
 53.04  -6.509
 53.34  -6.492
 53.64  -6.476
 53.95  -6.459
 54.25  -6.443
 54.56  -6.427
 54.86  -6.411
 55.17  -6.394
 55.47  -6.378
 55.78  -6.361
 56.08  -6.344
 56.39  -6.326
 56.69  -6.309
 57.00  -6.292
 57.30  -6.274
 57.61  -6.257
 57.91  -6.239
 58.22  -6.220
 58.52  -6.202
 58.83  -6.184
 59.13  -6.166
 59.44  -6.148
 59.74  -6.130
 60.05  -6.112
 60.35  -6.095
 60.66  -6.078
 60.96  -6.061
 61.57  -6.027
 61.87  -6.011
 62.18  -5.995
 62.48  -5.979
 62.79  -5.964
 63.09  -5.950
 63.40  -5.935
 63.70  -5.921
 64.01  -5.906
 64.31  -5.892
 64.62  -5.877
