  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Fish Creek Test Well #1 
  File name:   FCK_81AUG21 
  Log date:    21-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.19  -9.181
 15.24  -9.079
 18.29  -8.952
 21.34  -8.791
 24.38  -8.701
 27.43  -8.610
 30.48  -8.534
 33.53  -8.458
 36.58  -8.383
 39.62  -8.328
 42.67  -8.271
 45.72  -8.229
 48.77  -8.167
 51.82  -8.121
 54.86  -8.068
 57.91  -8.020
 60.96  -7.978
 64.01  -7.925
 67.06  -7.876
 70.10  -7.817
 73.15  -7.748
 76.20  -7.677
 79.25  -7.591
 82.30  -7.514
 85.34  -7.423
 88.39  -7.314
 91.44  -7.212
 94.49  -7.130
 97.54  -7.019
100.58  -6.916
103.63  -6.798
106.68  -6.682
109.73  -6.544
112.78  -6.406
115.82  -6.290
118.87  -6.172
121.92  -6.022
124.97  -5.881
128.02  -5.763
131.06  -5.603
134.11  -5.481
137.16  -5.346
140.21  -5.209
143.26  -5.083
146.30  -4.946
149.35  -4.800
152.40  -4.658
155.45  -4.506
158.50  -4.350
161.54  -4.200
164.59  -4.022
167.64  -3.853
170.69  -3.692
173.74  -3.534
176.78  -3.400
179.83  -3.241
182.88  -3.091
185.93  -2.939
188.98  -2.787
192.02  -2.625
195.07  -2.506
198.12  -2.356
201.17  -2.223
204.22  -2.101
207.26  -1.935
256.03   0.129
259.08   0.248
262.13   0.359
265.18   0.478
268.22   0.584
271.27   0.718
274.32   0.844
277.37   0.942
280.42   1.069
283.46   1.197
286.51   1.295
289.56   1.400
292.61   1.501
295.66   1.602
298.70   1.727
301.75   1.829
304.80   1.925
307.85   2.056
310.90   2.172
313.94   2.279
316.99   2.395
320.04   2.524
323.09   2.630
326.14   2.739
329.18   2.878
332.23   2.989
335.28   3.100
338.33   3.214
341.38   3.323
344.42   3.434
353.57   3.790
356.62   3.923
359.66   4.018
362.71   4.133
365.76   4.243
368.81   4.348
371.86   4.453
374.90   4.577
377.95   4.676
381.00   4.787
384.05   4.932
387.10   5.045
390.14   5.152
393.19   5.290
396.24   5.395
399.29   5.503
402.34   5.627
405.38   5.729
408.43   5.848
411.48   5.957
414.53   6.070
417.58   6.182
420.62   6.296
423.67   6.431
426.72   6.528
429.77   6.633
432.82   6.731
435.86   6.834
438.91   6.940
441.96   7.036
445.01   7.151
448.06   7.262
451.10   7.377
454.15   7.468
457.20   7.573
460.25   7.685
463.30   7.796
466.34   7.906
469.39   8.035
472.44   8.132
475.49   8.236
478.54   8.333
481.58   8.458
484.63   8.576
487.68   8.692
490.73   8.786
493.78   8.895
521.21  10.055
524.26  10.157
527.31  10.264
530.35  10.404
533.40  10.497
536.45  10.620
539.50  10.757
542.55  10.864
545.59  10.998
548.64  11.092
551.69  11.199
554.74  11.347
557.79  11.408
560.83  11.459
563.88  11.550
566.93  11.644
569.98  11.732
573.03  11.926
576.07  12.023
579.12  12.143
582.17  12.240
585.22  12.358
588.27  12.478
591.31  12.567
594.36  12.690
597.41  12.794
600.46  12.897
603.51  13.026
606.55  13.130
609.60  13.245
612.65  13.353
615.70  13.488
618.75  13.583
621.79  13.695
624.84  13.789
627.89  13.945
630.94  14.038
633.99  14.170
637.03  14.248
640.08  14.329
643.13  14.450
646.18  14.564
649.23  14.727
652.27  14.833
655.32  14.931
658.37  15.038
661.42  15.118
664.47  15.228
667.51  15.324
