  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   East Teshekpuk Test Well #1 
  File name:   ETK_89JUL15_c_d 
  Log date:    15-JUL-1989 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 10.67  -9.692
 10.87  -9.691
 11.07  -9.691
 11.28  -9.691
 11.48  -9.690
 11.68  -9.690
 11.89  -9.690
 12.09  -9.690
 12.29  -9.689
 12.50  -9.689
 12.70  -9.689
 12.90  -9.688
 13.11  -9.688
 13.31  -9.688
 13.51  -9.687
 13.72  -9.687
 13.92  -9.687
 14.12  -9.686
 14.33  -9.686
 14.53  -9.686
 14.73  -9.686
 14.94  -9.686
 15.14  -9.687
 15.34  -9.687
 15.54  -9.687
 15.75  -9.688
 15.95  -9.688
 16.15  -9.688
 16.36  -9.688
 16.56  -9.688
 16.76  -9.688
 16.97  -9.688
 17.17  -9.688
 17.37  -9.687
 17.58  -9.687
 17.78  -9.686
 17.98  -9.685
 18.19  -9.685
 18.39  -9.684
 18.59  -9.683
 18.80  -9.681
 19.00  -9.680
 19.20  -9.679
 19.41  -9.677
 19.61  -9.675
 19.81  -9.673
 20.02  -9.671
 20.22  -9.669
 20.42  -9.666
 20.62  -9.663
 20.83  -9.659
 21.03  -9.656
 21.23  -9.652
 21.44  -9.647
 21.64  -9.642
 21.84  -9.637
 22.05  -9.632
 22.25  -9.627
 22.45  -9.622
 22.66  -9.616
 22.86  -9.611
 23.06  -9.605
 23.27  -9.600
 23.47  -9.594
 23.67  -9.588
 23.88  -9.582
 24.08  -9.576
 24.28  -9.570
 24.49  -9.564
 24.69  -9.558
 24.89  -9.552
 25.10  -9.546
 25.30  -9.539
 25.50  -9.533
 25.70  -9.526
 25.91  -9.519
 26.11  -9.512
 26.31  -9.505
 26.52  -9.498
 26.72  -9.491
 26.92  -9.484
 27.13  -9.477
 27.33  -9.470
 27.53  -9.463
 27.74  -9.456
 27.94  -9.448
 28.14  -9.441
 28.35  -9.434
 28.55  -9.426
 28.75  -9.419
 28.96  -9.411
 29.16  -9.404
 29.36  -9.396
 29.57  -9.389
 29.77  -9.381
 29.97  -9.373
 30.18  -9.366
 30.38  -9.358
 30.58  -9.350
 30.78  -9.342
 30.99  -9.334
 31.19  -9.326
 31.39  -9.318
 31.60  -9.310
 31.80  -9.302
 32.00  -9.294
 32.21  -9.286
 32.41  -9.278
 32.61  -9.270
 32.82  -9.263
 33.02  -9.255
 33.22  -9.247
 33.43  -9.240
 33.63  -9.232
 33.83  -9.225
 34.04  -9.218
 34.24  -9.210
 34.44  -9.203
 34.65  -9.196
 34.85  -9.188
