  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Fish Creek Test Well #1 
  File name:   FCK_79SEP12 
  Log date:    12-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -8.808
 18.29  -8.643
 21.34  -8.523
 24.38  -8.432
 27.43  -8.340
 30.48  -8.259
 33.53  -8.202
 36.58  -8.137
 39.62  -8.083
 42.67  -8.024
 45.72  -7.964
 48.77  -7.905
 51.82  -7.851
 54.86  -7.787
 57.91  -7.727
 60.96  -7.676
 64.01  -7.629
 67.06  -7.582
 70.10  -7.530
 73.15  -7.453
 76.20  -7.364
 79.25  -7.264
 82.30  -7.168
 85.34  -7.078
 88.39  -6.979
 91.44  -6.901
 94.49  -6.804
 97.54  -6.709
100.58  -6.618
103.63  -6.526
106.68  -6.380
109.73  -6.273
112.78  -6.155
115.82  -5.999
118.87  -5.879
121.92  -5.722
124.97  -5.618
128.02  -5.493
131.06  -5.375
134.11  -5.245
137.16  -5.117
140.21  -4.988
143.26  -4.855
146.30  -4.719
149.35  -4.578
152.40  -4.399
155.45  -4.255
158.50  -4.077
161.54  -3.927
164.59  -3.763
167.64  -3.610
170.69  -3.439
173.74  -3.283
176.78  -3.109
179.83  -2.977
182.88  -2.805
185.93  -2.641
188.98  -2.479
192.02  -2.358
195.07  -2.214
198.12  -2.059
201.17  -1.889
204.22  -1.767
207.26  -1.661
210.31  -1.511
213.36  -1.391
216.41  -1.264
219.46  -1.115
222.50  -0.982
225.55  -0.852
228.60  -0.718
231.65  -0.589
234.70  -0.453
237.74  -0.344
240.79  -0.235
243.84  -0.120
246.89   0.022
249.94   0.142
252.98   0.251
256.03   0.391
259.08   0.498
262.13   0.612
265.18   0.759
268.22   0.830
271.27   0.984
274.32   1.075
277.37   1.196
280.42   1.311
283.46   1.414
286.51   1.526
289.56   1.642
292.61   1.738
295.66   1.853
298.70   1.936
301.75   2.071
304.80   2.181
307.85   2.291
310.90   2.403
313.94   2.520
316.99   2.626
320.04   2.749
323.09   2.871
326.14   2.985
329.18   3.089
332.23   3.221
335.28   3.299
338.33   3.448
341.38   3.542
344.42   3.673
347.47   3.772
350.52   3.885
353.57   4.017
356.62   4.130
359.66   4.233
362.71   4.368
365.76   4.465
368.81   4.563
371.86   4.679
374.90   4.767
377.95   4.895
381.00   5.015
384.05   5.156
387.10   5.260
390.14   5.402
393.19   5.515
396.24   5.629
399.29   5.743
402.34   5.860
405.38   5.955
408.43   6.056
411.48   6.172
414.53   6.295
417.58   6.417
420.62   6.541
423.67   6.627
426.72   6.743
429.77   6.849
432.82   6.954
435.86   7.038
438.91   7.153
441.96   7.256
445.01   7.379
448.06   7.476
451.10   7.586
454.15   7.705
457.20   7.812
460.25   7.907
463.30   8.044
466.34   8.158
469.39   8.265
472.44   8.357
475.49   8.485
478.54   8.587
481.58   8.691
484.63   8.803
487.68   8.907
490.73   9.026
493.78   9.138
524.26  10.343
527.31  10.477
530.35  10.560
533.40  10.692
536.45  10.818
539.50  10.937
542.55  11.067
545.59  11.194
548.64  11.300
551.69  11.410
554.74  11.514
557.79  11.620
560.83  11.707
563.88  11.808
566.93  11.893
569.98  11.989
573.03  12.111
576.07  12.210
579.12  12.302
582.17  12.419
585.22  12.518
588.27  12.612
591.31  12.755
594.36  12.845
597.41  12.956
600.46  13.081
603.51  13.191
606.55  13.308
609.60  13.422
612.65  13.538
615.70  13.650
618.75  13.769
621.79  13.881
624.84  13.986
627.89  14.090
630.94  14.220
633.99  14.312
637.03  14.424
640.08  14.552
643.13  14.650
646.18  14.750
649.23  14.870
652.27  14.968
655.32  15.088
658.37  15.198
661.42  15.299
664.47  15.409
