  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   J.W. Dalton Test Well #1 
  File name:   JWD_83AUG26 
  Log date:    26-AUG-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 27.43 -10.025
 30.48  -9.980
 33.53  -9.983
 36.58  -9.966
 39.62  -9.956
 42.67  -9.945
 45.72  -9.934
 48.77  -9.918
 51.82  -9.894
 54.86  -9.875
 57.91  -9.853
 60.96  -9.821
 64.01  -9.791
 67.06  -9.761
 70.10  -9.710
 73.15  -9.666
 76.20  -9.610
 79.25  -9.557
 82.30  -9.501
 85.34  -9.441
 88.39  -9.387
 91.44  -9.330
 94.49  -9.265
 97.54  -9.176
100.58  -9.134
103.63  -9.060
106.68  -8.997
109.73  -8.932
112.78  -8.855
115.82  -8.789
118.87  -8.717
121.92  -8.616
124.97  -8.557
128.02  -8.467
131.06  -8.398
134.11  -8.323
137.16  -8.210
140.21  -8.142
143.26  -8.062
146.30  -7.965
149.35  -7.900
152.40  -7.803
155.45  -7.717
158.50  -7.663
161.54  -7.583
164.59  -7.497
170.69  -7.362
173.74  -7.293
176.78  -7.221
179.83  -7.158
182.88  -7.099
185.93  -7.047
188.98  -6.980
192.02  -6.907
195.07  -6.854
198.12  -6.779
201.17  -6.743
204.22  -6.699
207.26  -6.642
210.31  -6.595
213.36  -6.549
216.41  -6.495
219.46  -6.453
222.50  -6.406
225.55  -6.356
228.60  -6.303
231.65  -6.257
234.70  -6.214
237.74  -6.170
240.79  -6.122
243.84  -6.068
246.89  -6.021
249.94  -5.971
252.98  -5.915
256.03  -5.874
259.08  -5.827
262.13  -5.774
265.18  -5.710
268.22  -5.639
271.27  -5.550
274.32  -5.449
277.37  -5.359
280.42  -5.216
283.46  -5.112
286.51  -5.002
289.56  -4.906
292.61  -4.788
295.66  -4.668
298.70  -4.579
301.75  -4.442
304.80  -4.325
307.85  -4.196
310.90  -4.041
313.94  -3.970
316.99  -3.842
320.04  -3.724
323.09  -3.595
326.14  -3.446
329.18  -3.360
332.23  -3.250
335.28  -3.127
338.33  -3.007
341.38  -2.885
344.42  -2.743
347.47  -2.648
350.52  -2.492
353.57  -2.360
356.62  -2.206
359.66  -2.040
362.71  -1.910
365.76  -1.699
368.81  -1.560
371.86  -1.383
374.90  -1.281
377.95  -1.135
381.00  -0.966
384.05  -0.816
387.10  -0.677
390.14  -0.533
393.19  -0.357
396.24  -0.244
399.29  -0.073
402.34   0.084
405.38   0.220
408.43   0.392
411.48   0.487
414.53   0.619
417.58   0.765
420.62   0.887
423.67   1.036
426.72   1.198
429.77   1.316
432.82   1.416
435.86   1.532
438.91   1.646
441.96   1.769
445.01   1.921
448.06   1.994
451.10   2.135
454.15   2.252
457.20   2.343
460.25   2.418
