  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Atigaru Test Well #1 
  File name:   ATI_84AUG08b_c_d 
  Log date:    08-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
400.81   0.105
401.12   0.122
401.42   0.140
401.73   0.157
402.03   0.171
402.34   0.185
402.64   0.198
402.95   0.211
403.25   0.225
403.56   0.239
403.86   0.253
404.17   0.266
404.47   0.280
404.78   0.294
405.08   0.307
405.38   0.321
405.69   0.335
405.99   0.349
406.30   0.362
406.60   0.376
406.91   0.390
407.21   0.404
407.52   0.418
407.82   0.431
408.13   0.445
408.43   0.459
408.74   0.473
409.04   0.487
409.35   0.500
409.65   0.514
409.96   0.528
410.26   0.542
410.57   0.556
410.87   0.570
411.18   0.585
411.48   0.599
411.79   0.613
412.09   0.628
412.40   0.642
412.70   0.657
413.00   0.671
413.31   0.686
413.61   0.700
413.92   0.715
414.22   0.729
414.53   0.743
414.83   0.758
415.14   0.772
415.44   0.787
415.75   0.801
416.05   0.815
416.36   0.830
416.66   0.844
418.49   0.927
418.80   0.941
419.10   0.955
419.41   0.969
419.71   0.982
421.54   1.066
421.84   1.080
422.15   1.094
422.45   1.108
422.76   1.122
423.06   1.136
423.37   1.150
423.67   1.164
423.98   1.178
424.28   1.192
424.59   1.206
424.89   1.220
425.20   1.235
425.50   1.249
425.81   1.263
426.11   1.278
426.42   1.292
426.72   1.306
427.03   1.321
427.33   1.335
427.64   1.350
427.94   1.364
428.24   1.379
428.55   1.394
428.85   1.409
429.16   1.424
429.46   1.440
429.77   1.455
430.07   1.471
430.38   1.487
430.68   1.503
430.99   1.519
431.29   1.535
431.60   1.551
431.90   1.567
432.21   1.583
432.51   1.599
432.82   1.615
433.12   1.631
433.43   1.647
433.73   1.664
434.04   1.680
434.34   1.696
434.65   1.712
434.95   1.728
435.26   1.744
435.56   1.760
435.86   1.776
436.17   1.791
436.47   1.807
436.78   1.822
437.08   1.838
437.39   1.853
437.69   1.869
438.00   1.884
438.30   1.900
438.61   1.916
438.91   1.931
439.22   1.947
439.52   1.963
439.83   1.978
440.13   1.994
440.44   2.009
440.74   2.025
441.05   2.040
441.35   2.056
441.66   2.071
441.96   2.087
442.27   2.102
442.57   2.118
442.88   2.133
443.18   2.149
443.48   2.164
443.79   2.180
444.09   2.195
444.40   2.210
444.70   2.226
445.01   2.241
445.31   2.256
445.62   2.272
445.92   2.287
446.23   2.302
446.53   2.317
446.84   2.333
447.14   2.348
447.45   2.363
447.75   2.378
448.06   2.393
448.36   2.409
448.67   2.424
448.97   2.439
449.28   2.454
449.58   2.469
449.89   2.484
450.19   2.499
450.50   2.515
450.80   2.530
451.10   2.545
451.41   2.560
451.71   2.575
452.02   2.590
452.32   2.606
452.63   2.621
452.93   2.636
453.24   2.651
453.54   2.666
453.85   2.682
454.15   2.697
454.46   2.712
454.76   2.727
455.07   2.743
455.37   2.758
455.68   2.773
455.98   2.789
456.29   2.804
456.59   2.819
456.90   2.835
457.20   2.850
457.51   2.866
457.81   2.881
459.64   2.975
459.94   2.991
460.25   3.007
460.55   3.023
460.86   3.039
461.16   3.055
461.47   3.071
461.77   3.087
462.08   3.103
462.38   3.119
462.69   3.136
462.99   3.152
463.30   3.168
463.60   3.184
463.91   3.201
464.21   3.217
464.52   3.234
464.82   3.250
465.13   3.266
465.43   3.282
465.74   3.298
466.04   3.314
466.34   3.330
466.65   3.346
466.95   3.361
467.26   3.377
467.56   3.392
467.87   3.408
468.17   3.424
468.48   3.440
468.78   3.456
469.09   3.472
469.39   3.488
469.70   3.504
470.00   3.520
470.31   3.536
470.61   3.552
470.92   3.568
471.22   3.585
471.53   3.601
471.83   3.619
472.14   3.636
472.44   3.653
472.75   3.671
473.05   3.689
473.36   3.708
473.66   3.726
473.96   3.744
474.27   3.762
474.57   3.780
474.88   3.798
475.18   3.816
475.49   3.834
475.79   3.852
476.10   3.869
476.40   3.887
476.71   3.905
477.01   3.923
477.32   3.940
477.62   3.957
477.93   3.974
478.23   3.991
478.54   4.007
478.84   4.023
479.15   4.039
479.45   4.055
479.76   4.071
480.06   4.086
480.37   4.102
480.67   4.118
480.98   4.134
481.28   4.150
481.58   4.166
481.89   4.182
482.19   4.198
482.50   4.214
482.80   4.231
483.11   4.247
483.41   4.263
483.72   4.280
484.02   4.296
484.33   4.313
484.63   4.330
484.94   4.347
485.24   4.364
485.55   4.381
485.85   4.399
486.16   4.416
486.46   4.434
486.77   4.451
487.07   4.468
487.38   4.485
487.68   4.503
487.99   4.520
488.29   4.537
488.60   4.554
488.90   4.572
489.20   4.589
489.51   4.606
489.81   4.624
490.12   4.642
490.42   4.660
490.73   4.678
491.03   4.696
491.34   4.714
491.64   4.732
491.95   4.750
492.25   4.768
492.56   4.786
492.86   4.804
493.17   4.822
493.47   4.840
493.78   4.858
494.08   4.877
494.39   4.895
494.69   4.913
495.00   4.931
495.30   4.948
495.61   4.966
495.91   4.983
496.22   5.000
496.52   5.017
496.82   5.034
497.13   5.050
497.43   5.066
497.74   5.082
498.04   5.097
498.35   5.113
498.65   5.130
498.96   5.146
499.26   5.162
499.57   5.178
499.87   5.194
500.18   5.210
500.48   5.227
500.79   5.243
501.09   5.259
501.40   5.276
501.70   5.292
502.01   5.309
502.31   5.326
502.62   5.344
502.92   5.362
503.23   5.380
503.53   5.398
505.36   5.508
505.66   5.526
505.97   5.544
506.27   5.562
506.58   5.580
506.88   5.598
507.19   5.616
507.49   5.635
507.80   5.653
508.10   5.671
508.41   5.688
508.71   5.706
509.02   5.724
509.32   5.742
509.63   5.759
509.93   5.776
510.24   5.794
510.54   5.811
510.85   5.828
511.15   5.846
511.46   5.863
511.76   5.880
512.06   5.898
512.37   5.915
512.67   5.933
512.98   5.950
513.28   5.968
513.59   5.985
513.89   6.002
514.20   6.019
514.50   6.036
514.81   6.053
515.11   6.069
515.42   6.085
515.72   6.102
516.03   6.118
516.33   6.134
516.64   6.151
516.94   6.167
517.25   6.183
517.55   6.200
517.86   6.216
518.16   6.232
518.47   6.248
518.77   6.265
519.08   6.281
519.38   6.297
519.68   6.314
519.99   6.330
520.29   6.347
520.60   6.364
520.90   6.382
521.21   6.399
521.51   6.417
521.82   6.435
522.12   6.454
522.43   6.472
522.73   6.490
523.04   6.508
523.34   6.526
523.65   6.544
523.95   6.562
524.26   6.579
524.56   6.597
524.87   6.615
525.17   6.633
525.48   6.650
525.78   6.668
526.09   6.685
526.39   6.702
526.70   6.718
527.00   6.735
527.30   6.751
527.61   6.766
527.91   6.781
528.22   6.796
528.52   6.811
528.83   6.826
529.13   6.842
529.44   6.857
529.74   6.872
530.05   6.887
530.35   6.903
530.66   6.918
530.96   6.934
531.27   6.949
531.57   6.964
531.88   6.980
532.18   6.996
532.49   7.012
532.79   7.028
533.10   7.045
533.40   7.062
533.71   7.079
534.01   7.096
535.84   7.201
536.14   7.219
536.45   7.236
536.75   7.253
537.06   7.270
537.36   7.287
537.67   7.304
537.97   7.322
538.28   7.338
538.58   7.355
538.89   7.372
539.19   7.388
539.50   7.405
539.80   7.421
540.11   7.436
540.41   7.452
540.72   7.468
541.02   7.483
541.33   7.499
541.63   7.515
541.94   7.531
542.24   7.547
542.54   7.563
542.85   7.579
543.15   7.595
543.46   7.610
543.76   7.626
544.07   7.642
544.37   7.658
544.68   7.674
544.98   7.690
545.29   7.706
545.59   7.722
545.90   7.738
546.20   7.755
546.51   7.771
546.81   7.787
547.12   7.803
547.42   7.819
547.73   7.836
548.03   7.852
548.34   7.868
548.64   7.884
548.95   7.900
549.25   7.915
549.56   7.931
549.86   7.947
550.16   7.963
550.47   7.979
550.77   7.995
551.08   8.011
