  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   J.W. Dalton Test Well #1 
  File name:   JWD_84AUG09_c_d 
  Log date:    09-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 44.20  -9.958
 44.50  -9.956
 44.81  -9.954
 45.11  -9.952
 45.42  -9.951
 45.72  -9.949
 46.02  -9.948
 46.33  -9.946
 46.63  -9.945
 46.94  -9.943
 47.24  -9.941
 47.55  -9.939
 47.85  -9.938
 48.16  -9.936
 48.46  -9.934
 48.77  -9.933
 49.07  -9.931
 49.38  -9.929
 49.68  -9.927
 49.99  -9.926
 50.29  -9.924
 50.60  -9.922
 50.90  -9.920
 51.21  -9.918
 51.51  -9.916
 51.82  -9.914
 52.12  -9.912
 52.43  -9.910
 52.73  -9.908
 53.04  -9.906
 53.34  -9.904
 53.64  -9.901
 53.95  -9.899
 54.25  -9.897
 54.56  -9.894
 54.86  -9.892
 55.17  -9.889
 55.47  -9.886
 55.78  -9.883
 56.08  -9.881
 56.39  -9.878
 56.69  -9.875
 57.00  -9.872
 57.30  -9.870
 57.61  -9.867
 57.91  -9.864
 58.22  -9.861
 58.52  -9.858
 58.83  -9.855
 59.13  -9.852
 59.44  -9.849
 59.74  -9.846
 60.05  -9.843
 60.35  -9.840
 60.66  -9.838
 60.96  -9.835
 61.26  -9.832
 61.57  -9.829
 61.87  -9.827
 62.18  -9.824
 62.48  -9.821
 62.79  -9.818
 63.09  -9.815
 63.40  -9.812
 63.70  -9.809
 64.01  -9.806
 64.31  -9.803
 64.62  -9.800
 64.92  -9.797
 65.23  -9.794
 65.53  -9.790
 65.84  -9.787
 66.14  -9.783
 66.45  -9.780
 66.75  -9.776
 67.06  -9.772
 67.36  -9.768
 67.67  -9.764
 67.97  -9.760
 68.28  -9.756
 68.58  -9.752
 68.88  -9.748
 69.19  -9.744
 69.49  -9.740
 69.80  -9.735
 70.10  -9.731
 70.41  -9.727
 70.71  -9.723
 71.02  -9.718
 71.32  -9.714
 71.63  -9.709
 71.93  -9.705
 72.24  -9.701
 72.54  -9.697
 72.85  -9.692
 73.15  -9.688
 73.46  -9.684
 73.76  -9.680
 74.07  -9.676
 74.37  -9.671
 74.68  -9.667
 74.98  -9.663
 75.29  -9.658
 75.59  -9.654
 75.90  -9.650
 76.20  -9.645
 76.50  -9.641
 76.81  -9.636
 77.11  -9.631
 77.42  -9.627
 77.72  -9.622
 78.03  -9.617
 78.33  -9.612
 78.64  -9.607
 78.94  -9.601
 79.25  -9.596
 79.55  -9.590
 79.86  -9.585
 80.16  -9.579
 80.47  -9.573
 80.77  -9.567
 81.08  -9.562
 81.38  -9.556
 81.69  -9.550
 81.99  -9.544
 82.30  -9.538
 82.60  -9.532
 82.91  -9.526
 83.21  -9.520
 83.52  -9.514
 83.82  -9.509
 84.12  -9.503
 84.43  -9.497
 84.73  -9.491
 85.04  -9.485
 85.34  -9.480
 85.65  -9.474
 85.95  -9.469
 86.26  -9.464
 86.56  -9.458
 86.87  -9.453
 87.17  -9.447
 87.48  -9.442
 87.78  -9.436
 88.09  -9.430
 88.39  -9.425
 88.70  -9.419
 89.00  -9.413
 89.31  -9.407
 89.61  -9.401
 89.92  -9.395
 90.22  -9.389
 90.53  -9.383
 90.83  -9.377
 91.14  -9.371
 91.44  -9.365
 91.74  -9.358
 92.05  -9.352
 92.35  -9.345
 92.66  -9.338
 92.96  -9.332
 93.27  -9.325
 93.57  -9.319
 93.88  -9.312
 94.18  -9.305
 94.49  -9.299
 94.79  -9.292
 95.10  -9.285
 95.40  -9.279
 95.71  -9.272
 96.01  -9.265
 96.32  -9.259
 96.62  -9.252
 96.93  -9.245
 97.23  -9.239
 97.54  -9.232
 97.84  -9.225
 98.15  -9.219
 98.45  -9.212
 98.76  -9.205
 99.06  -9.199
 99.36  -9.192
 99.67  -9.185
 99.97  -9.179
100.28  -9.172
100.58  -9.165
100.89  -9.158
101.19  -9.152
101.50  -9.145
101.80  -9.138
102.11  -9.131
102.41  -9.125
102.72  -9.118
103.02  -9.111
103.33  -9.105
103.63  -9.098
103.94  -9.091
104.24  -9.085
104.55  -9.078
104.85  -9.071
105.16  -9.065
105.46  -9.058
105.77  -9.051
106.07  -9.045
106.38  -9.038
106.68  -9.031
106.98  -9.024
107.29  -9.018
107.59  -9.011
107.90  -9.004
108.20  -8.997
108.51  -8.991
108.81  -8.984
109.12  -8.977
109.42  -8.970
109.73  -8.963
110.03  -8.956
110.34  -8.949
110.64  -8.942
110.95  -8.935
111.25  -8.928
111.56  -8.921
111.86  -8.914
112.17  -8.906
112.47  -8.899
112.78  -8.892
113.08  -8.885
113.39  -8.878
113.69  -8.871
114.00  -8.864
114.30  -8.857
114.60  -8.849
114.91  -8.842
115.21  -8.835
115.52  -8.827
115.82  -8.820
116.13  -8.813
116.43  -8.805
116.74  -8.798
117.04  -8.791
117.35  -8.783
117.65  -8.776
117.96  -8.769
118.26  -8.761
118.57  -8.754
118.87  -8.746
119.18  -8.739
119.48  -8.732
119.79  -8.724
120.09  -8.717
120.40  -8.710
120.70  -8.702
121.01  -8.695
121.31  -8.687
121.62  -8.680
121.92  -8.673
122.22  -8.666
122.53  -8.658
122.83  -8.651
123.14  -8.644
123.44  -8.637
123.75  -8.629
124.05  -8.622
124.36  -8.615
124.66  -8.607
124.97  -8.600
125.27  -8.593
125.58  -8.585
125.88  -8.578
126.19  -8.570
126.49  -8.563
126.80  -8.555
127.10  -8.548
127.41  -8.541
127.71  -8.534
128.02  -8.527
128.32  -8.520
128.63  -8.513
128.93  -8.506
129.24  -8.498
129.54  -8.491
129.84  -8.484
130.15  -8.477
130.45  -8.469
130.76  -8.462
131.06  -8.455
131.37  -8.447
131.67  -8.440
131.98  -8.432
132.28  -8.425
132.59  -8.417
132.89  -8.409
133.20  -8.401
133.50  -8.392
133.81  -8.383
134.11  -8.374
134.42  -8.365
134.72  -8.355
135.03  -8.346
135.33  -8.336
135.64  -8.326
