  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    20-Feb-2015 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Tulageak Test Well #1 
  File name:   TUL_14JUL02_c_d 
  Log date:    02-JUL-2014 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
________________________________________________ 
             
 Depth  Temperature 
  6.20  -5.064
  6.23  -5.065
  6.30  -5.065
  6.52  -5.067
  6.60  -5.068
  6.67  -5.069
  6.74  -5.070
  6.82  -5.072
  6.89  -5.074
  6.97  -5.075
  7.04  -5.078
  7.11  -5.080
  7.19  -5.083
  7.26  -5.086
  7.33  -5.089
  7.40  -5.093
  7.48  -5.097
  7.55  -5.101
  7.62  -5.106
  7.69  -5.111
  7.77  -5.116
  7.84  -5.122
  7.91  -5.128
  7.99  -5.134
  8.06  -5.140
  8.13  -5.147
  8.21  -5.153
  8.28  -5.159
  8.36  -5.166
  8.43  -5.172
  8.50  -5.179
  8.58  -5.186
  8.65  -5.193
  8.73  -5.200
  8.80  -5.208
  8.88  -5.215
  8.95  -5.223
  9.02  -5.230
  9.10  -5.238
  9.17  -5.246
  9.24  -5.253
  9.30  -5.261
  9.38  -5.269
  9.45  -5.277
  9.53  -5.285
  9.58  -5.293
  9.67  -5.301
  9.75  -5.309
  9.82  -5.317
  9.90  -5.325
  9.97  -5.333
 10.05  -5.340
 10.12  -5.348
 10.19  -5.356
 10.27  -5.364
 10.34  -5.371
 10.41  -5.379
 10.49  -5.387
 10.56  -5.395
 10.64  -5.403
 10.71  -5.410
 10.79  -5.418
 10.86  -5.426
 10.93  -5.434
 11.01  -5.441
 11.08  -5.449
 11.15  -5.457
 11.22  -5.464
 11.29  -5.472
 11.37  -5.480
 11.45  -5.488
 11.52  -5.496
 11.59  -5.503
 11.66  -5.511
 11.74  -5.519
 11.81  -5.527
 11.89  -5.534
 11.96  -5.542
 12.04  -5.550
 12.11  -5.558
 12.19  -5.566
 12.26  -5.574
 12.34  -5.582
 12.41  -5.589
 12.48  -5.597
 12.56  -5.606
 12.63  -5.614
 12.70  -5.622
 12.77  -5.630
 12.85  -5.638
 12.92  -5.646
 12.99  -5.654
 13.06  -5.662
 13.14  -5.671
 13.21  -5.679
 13.29  -5.687
 13.36  -5.696
 13.44  -5.704
 13.51  -5.712
 13.58  -5.721
 13.66  -5.729
 13.73  -5.738
 13.80  -5.746
 13.87  -5.755
 13.95  -5.763
 14.03  -5.772
 14.10  -5.780
 14.18  -5.789
 14.25  -5.798
 14.32  -5.806
 14.47  -5.824
 14.54  -5.833
 14.62  -5.842
 14.69  -5.851
 14.76  -5.860
 14.83  -5.869
 14.91  -5.878
 14.98  -5.887
 15.05  -5.896
 15.13  -5.906
 15.20  -5.915
 15.27  -5.924
 15.35  -5.934
 15.42  -5.943
 15.50  -5.953
 15.57  -5.962
 15.65  -5.972
 15.72  -5.982
 15.80  -5.992
 15.87  -6.001
 15.94  -6.011
 16.02  -6.021
 16.09  -6.031
 16.17  -6.041
 16.24  -6.051
 16.31  -6.061
 16.39  -6.071
 16.47  -6.082
 16.54  -6.092
 16.61  -6.102
 16.68  -6.112
 16.76  -6.123
 16.83  -6.133
 16.90  -6.143
 16.97  -6.154
 17.04  -6.164
 17.12  -6.175
 17.19  -6.186
 17.27  -6.196
 17.34  -6.207
 17.42  -6.218
 17.49  -6.228
 17.56  -6.239
 17.64  -6.250
 17.71  -6.260
 17.78  -6.271
 17.86  -6.281
 17.93  -6.292
 18.01  -6.303
 18.08  -6.313
 18.16  -6.324
 18.23  -6.334
 18.30  -6.345
 18.38  -6.356
 18.45  -6.367
 18.52  -6.377
 18.59  -6.388
 18.67  -6.398
 18.74  -6.409
 18.82  -6.419
 18.89  -6.430
 18.97  -6.441
 19.03  -6.451
 19.11  -6.462
 19.18  -6.472
 19.25  -6.482
 19.33  -6.492
 19.40  -6.502
 19.48  -6.511
 19.55  -6.521
 19.63  -6.530
 19.70  -6.540
 19.78  -6.550
 19.85  -6.560
 19.92  -6.570
 20.00  -6.581
 20.07  -6.592
 20.15  -6.604
 20.22  -6.616
 20.30  -6.628
 20.41  -6.640
 20.50  -6.653
 20.61  -6.666
 20.71  -6.680
 20.80  -6.695
 21.01  -6.724
 21.11  -6.739
 21.22  -6.754
 21.32  -6.770
 21.42  -6.785
 21.53  -6.799
 21.64  -6.814
 21.75  -6.828
 21.85  -6.842
 21.96  -6.856
 22.06  -6.870
 22.17  -6.884
 22.28  -6.898
 22.39  -6.912
 22.50  -6.926
 22.60  -6.940
 22.71  -6.954
 22.81  -6.967
 22.92  -6.981
 23.03  -6.994
 23.14  -7.008
 23.25  -7.021
 23.35  -7.035
 23.46  -7.049
 23.57  -7.062
 23.67  -7.076
 23.78  -7.089
 23.89  -7.102
 24.00  -7.116
 24.11  -7.129
 24.22  -7.142
 24.33  -7.154
 24.43  -7.167
 24.54  -7.180
 24.65  -7.193
 24.76  -7.205
