  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
  File name:   DRP_89JUL13_c_d 
  Log date:    13-JUL-1989 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 39.32  -9.225
 39.52  -9.221
 39.73  -9.217
 39.93  -9.214
 40.13  -9.210
 40.34  -9.206
 40.54  -9.202
 40.74  -9.198
 40.94  -9.194
 41.15  -9.190
 41.35  -9.186
 41.55  -9.182
 41.76  -9.178
 41.96  -9.174
 42.16  -9.170
 42.37  -9.166
 42.57  -9.162
 42.77  -9.158
 42.98  -9.153
 43.18  -9.149
 43.38  -9.145
 43.59  -9.141
 43.79  -9.136
 43.99  -9.132
 44.20  -9.128
 44.40  -9.124
 44.60  -9.120
 44.81  -9.116
 45.01  -9.112
 45.21  -9.108
 45.42  -9.104
 45.62  -9.101
 45.82  -9.097
 46.02  -9.093
 46.23  -9.090
 46.43  -9.086
 46.63  -9.082
 46.84  -9.078
 47.04  -9.074
 47.24  -9.070
 47.45  -9.066
 47.65  -9.062
 47.85  -9.058
 48.06  -9.054
 48.26  -9.050
 48.46  -9.046
 48.67  -9.042
 48.87  -9.038
 49.07  -9.034
 49.28  -9.030
 49.48  -9.026
 49.68  -9.022
 49.89  -9.018
 50.09  -9.014
 50.29  -9.010
 50.49  -9.006
 50.70  -9.002
 50.90  -8.997
 51.10  -8.993
 51.31  -8.989
 51.51  -8.985
 51.71  -8.981
 51.92  -8.977
 52.12  -8.973
 52.32  -8.969
 52.53  -8.964
 52.73  -8.960
 52.93  -8.956
 53.14  -8.952
 53.34  -8.948
 53.54  -8.944
 53.75  -8.940
 53.95  -8.936
 54.15  -8.932
 54.36  -8.927
 54.56  -8.923
 54.76  -8.919
 54.97  -8.915
 55.17  -8.911
 55.37  -8.907
 55.58  -8.902
 55.78  -8.898
 55.98  -8.894
 56.18  -8.890
 56.39  -8.886
 56.59  -8.881
 56.79  -8.877
 57.00  -8.873
 57.20  -8.869
 57.40  -8.865
 57.61  -8.860
 57.81  -8.856
 58.01  -8.852
 58.22  -8.848
 58.42  -8.844
 58.62  -8.839
 58.83  -8.835
 59.03  -8.831
 59.23  -8.827
 59.44  -8.823
 59.64  -8.819
 59.84  -8.816
 60.05  -8.812
 60.25  -8.809
 60.45  -8.805
 60.66  -8.801
 60.86  -8.798
 61.06  -8.794
 61.26  -8.790
 61.47  -8.786
 61.67  -8.782
 61.87  -8.778
 62.08  -8.774
 62.28  -8.770
 62.48  -8.765
 62.69  -8.761
 62.89  -8.757
 63.09  -8.753
 63.30  -8.748
 63.50  -8.744
 63.70  -8.740
 63.91  -8.735
 64.11  -8.731
 64.31  -8.727
 64.52  -8.723
 64.72  -8.719
 64.92  -8.715
 65.13  -8.711
 65.33  -8.707
 65.53  -8.702
 65.73  -8.698
 65.94  -8.694
 66.14  -8.690
 66.34  -8.685
 66.55  -8.680
 66.75  -8.676
 66.95  -8.671
 67.16  -8.667
 67.36  -8.662
 67.56  -8.658
 67.77  -8.653
 67.97  -8.648
 68.17  -8.644
 68.38  -8.639
 68.58  -8.635
 68.78  -8.630
 68.99  -8.626
 69.19  -8.622
 69.39  -8.619
 69.60  -8.615
 69.80  -8.612
 70.00  -8.609
 70.21  -8.606
 70.41  -8.603
 70.61  -8.600
 70.81  -8.597
 71.02  -8.592
 71.22  -8.588
 71.42  -8.583
 71.63  -8.578
 71.83  -8.573
 72.03  -8.568
 72.24  -8.563
 72.44  -8.558
 72.64  -8.553
 72.85  -8.547
 73.05  -8.542
 73.25  -8.537
 73.46  -8.532
 73.66  -8.527
 73.86  -8.522
 74.07  -8.518
 74.27  -8.514
 74.47  -8.510
 74.68  -8.506
 74.88  -8.502
 75.08  -8.499
 75.29  -8.495
 75.49  -8.492
 75.69  -8.488
 75.89  -8.484
 76.10  -8.479
 76.30  -8.474
 76.50  -8.470
 76.71  -8.465
 76.91  -8.460
 77.11  -8.456
 77.32  -8.451
 77.52  -8.446
 77.72  -8.442
 77.93  -8.437
 78.13  -8.433
 78.33  -8.428
 78.54  -8.424
 78.74  -8.419
 78.94  -8.414
 79.15  -8.410
 79.35  -8.406
 79.55  -8.401
 79.76  -8.397
 79.96  -8.392
 80.16  -8.388
 80.37  -8.384
 80.57  -8.379
 80.77  -8.375
 80.97  -8.370
 81.18  -8.366
 81.38  -8.361
 81.58  -8.356
 81.79  -8.351
 81.99  -8.347
 82.19  -8.342
 82.40  -8.337
 82.60  -8.332
 82.80  -8.327
 83.01  -8.322
 83.21  -8.317
 83.41  -8.312
 83.62  -8.306
 83.82  -8.301
 84.02  -8.295
 84.23  -8.290
 84.43  -8.284
 84.63  -8.278
 84.84  -8.272
 85.04  -8.266
 85.24  -8.260
 85.45  -8.254
 85.65  -8.248
 85.85  -8.242
 86.05  -8.236
 86.26  -8.230
 86.46  -8.224
 86.66  -8.218
 86.87  -8.212
 87.07  -8.206
 87.27  -8.200
 87.48  -8.194
 87.68  -8.188
 87.88  -8.182
 88.09  -8.176
 88.29  -8.170
 88.49  -8.164
 88.70  -8.159
 88.90  -8.153
 89.10  -8.148
 89.31  -8.142
 89.51  -8.137
 89.71  -8.131
 89.92  -8.126
 90.12  -8.121
 90.32  -8.115
 90.53  -8.110
 90.73  -8.105
 90.93  -8.099
 91.13  -8.094
 91.34  -8.088
 91.54  -8.083
 91.74  -8.077
 91.95  -8.072
 92.15  -8.066
 92.35  -8.061
 92.56  -8.055
 92.76  -8.049
