  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   North Kalikpik Test Well #1 
  File name:   NKP_78SEP16 
  Log date:    16-SEP-1978 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -7.236
 18.29  -7.169
 21.34  -7.062
 24.38  -6.933
 27.43  -6.755
 30.48  -6.564
 33.53  -6.407
 36.58  -6.257
 39.62  -6.150
 42.67  -6.055
 45.72  -5.917
 48.77  -5.800
 51.82  -5.689
 54.86  -5.578
 57.91  -5.427
 60.96  -5.334
 64.01  -5.231
 67.06  -5.111
 70.10  -4.970
 73.15  -4.813
 76.20  -4.674
 79.25  -4.564
 82.30  -4.454
 85.34  -4.340
 88.39  -4.216
 91.44  -4.132
 94.49  -4.061
 97.54  -3.905
100.58  -3.726
103.63  -3.557
106.68  -3.346
109.73  -3.235
112.78  -3.146
115.82  -3.050
118.87  -2.937
121.92  -2.775
124.97  -2.663
128.02  -2.554
131.06  -2.447
134.11  -2.379
137.16  -2.295
140.21  -2.214
143.26  -2.135
146.30  -1.992
149.35  -1.886
152.40  -1.649
161.54  -0.866
164.59  -0.763
167.64  -0.747
170.69  -0.591
173.74  -0.341
176.78  -0.146
179.83   0.095
182.88   0.274
185.93   0.517
188.98   0.674
192.02   0.860
195.07   0.998
198.12   1.201
201.17   1.332
204.22   1.450
207.26   1.577
210.31   1.766
213.36   1.929
216.41   2.053
219.46   2.199
222.50   2.323
225.55   2.462
228.60   2.579
231.65   2.744
234.70   2.890
237.74   3.027
240.79   3.182
243.84   3.320
246.89   3.450
249.94   3.597
252.98   3.736
256.03   3.873
259.08   4.010
262.13   4.143
265.18   4.370
268.22   4.415
271.27   4.540
274.32   4.699
277.37   4.812
280.42   4.942
283.46   5.095
286.51   5.212
289.56   5.353
292.61   5.477
295.66   5.616
298.70   5.777
301.75   5.903
304.80   6.033
307.85   6.167
310.90   6.299
313.94   6.451
316.99   6.574
320.04   6.713
323.09   6.853
326.14   7.001
329.18   7.144
332.23   7.355
335.28   7.523
338.33   7.675
341.38   7.790
344.42   7.938
347.47   8.052
350.52   8.193
353.57   8.313
356.62   8.454
359.66   8.578
362.71   8.706
365.76   8.864
368.81   8.997
371.86   9.128
374.90   9.275
377.95   9.397
381.00   9.521
384.05   9.641
387.10   9.779
390.14   9.901
393.19  10.010
396.24  10.136
399.29  10.266
402.34  10.389
405.38  10.513
408.43  10.653
411.48  10.786
414.53  10.918
417.58  11.053
420.62  11.222
423.67  11.346
426.72  11.475
429.77  11.605
432.82  11.726
435.86  11.865
438.91  11.997
441.96  12.108
445.01  12.271
448.06  12.390
451.10  12.532
454.15  12.669
457.20  12.789
460.25  12.837
463.30  12.982
466.34  13.123
469.39  13.256
472.44  13.386
475.49  13.536
478.54  13.666
481.58  13.809
484.63  13.926
487.68  14.065
490.73  14.230
493.78  14.370
496.82  14.493
499.87  14.660
502.92  14.852
505.97  14.986
509.02  15.119
512.07  15.268
515.11  15.416
518.16  15.524
521.21  15.669
524.26  15.789
527.31  15.924
530.35  16.088
533.40  16.195
536.45  16.311
539.50  16.451
542.55  16.606
545.59  16.714
548.64  16.852
551.69  16.987
554.74  17.114
557.79  17.263
560.83  17.392
563.88  17.547
566.93  17.669
569.98  17.795
573.03  17.945
576.07  18.089
579.12  18.221
582.17  18.380
585.22  18.486
588.27  18.626
591.31  18.778
594.36  18.922
597.41  19.058
600.46  19.196
603.51  19.314
606.55  19.489
609.60  19.624
612.65  19.758
615.70  19.887
618.75  20.032
621.79  20.167
624.84  20.294
627.89  20.435
630.94  20.586
633.99  20.710
637.03  20.840
640.08  20.957
643.13  21.077
