  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   West Fish Creek Test Well #1 
  File name:   FCK_84AUG07_c_d 
  Log date:    07-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 14.02  -9.945
 14.33  -9.909
 14.63  -9.872
 14.94  -9.836
 15.24  -9.807
 15.54  -9.780
 15.85  -9.754
 16.15  -9.728
 16.46  -9.701
 16.76  -9.673
 17.07  -9.645
 17.37  -9.618
 17.68  -9.592
 17.98  -9.567
 18.29  -9.542
 18.59  -9.517
 18.90  -9.493
 19.20  -9.469
 19.51  -9.446
 19.81  -9.423
 20.12  -9.399
 20.42  -9.375
 20.73  -9.351
 21.03  -9.328
 21.34  -9.305
 21.64  -9.282
 21.95  -9.259
 22.25  -9.238
 22.56  -9.218
 22.86  -9.200
 23.16  -9.181
 23.47  -9.164
 23.77  -9.146
 24.08  -9.128
 24.38  -9.110
 24.69  -9.091
 24.99  -9.070
 25.30  -9.048
 25.60  -9.026
 25.91  -9.003
 26.21  -8.981
 26.52  -8.959
 26.82  -8.938
 27.13  -8.919
 27.43  -8.901
 27.74  -8.885
 28.04  -8.870
 28.35  -8.855
 28.65  -8.841
 28.96  -8.828
 29.26  -8.815
 29.57  -8.802
 29.87  -8.789
 30.18  -8.777
 30.48  -8.764
 30.78  -8.752
 31.09  -8.740
 31.39  -8.729
 31.70  -8.718
 32.00  -8.707
 32.31  -8.696
 32.61  -8.686
 32.92  -8.676
 33.22  -8.666
 33.53  -8.656
 33.83  -8.646
 34.14  -8.636
 34.44  -8.626
 34.75  -8.616
 35.05  -8.606
 35.36  -8.596
 35.66  -8.586
 35.97  -8.576
 36.27  -8.566
 36.58  -8.556
 36.88  -8.547
 37.19  -8.538
 37.49  -8.529
 37.80  -8.520
 38.10  -8.512
 38.40  -8.504
 38.71  -8.496
 39.01  -8.488
 39.32  -8.480
 39.62  -8.472
 39.93  -8.464
 40.23  -8.456
 40.54  -8.448
 40.84  -8.441
 41.15  -8.433
 41.45  -8.426
 41.76  -8.418
 42.06  -8.411
 42.37  -8.404
 42.67  -8.397
 42.98  -8.391
 43.28  -8.384
 43.59  -8.377
 43.89  -8.371
 44.20  -8.365
 44.50  -8.359
 44.81  -8.353
 45.11  -8.347
 45.42  -8.342
 45.72  -8.336
 46.02  -8.331
 46.33  -8.325
 46.63  -8.320
 46.94  -8.314
