  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_84AUG08_c_d 
  Log date:    08-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 16.15 -10.491
 16.46 -10.464
 16.76 -10.440
 17.07 -10.416
 17.37 -10.393
 17.68 -10.369
 17.98 -10.346
 18.29 -10.322
 18.59 -10.300
 18.90 -10.277
 19.20 -10.254
 19.51 -10.232
 19.81 -10.209
 20.12 -10.187
 20.42 -10.165
 20.73 -10.143
 21.03 -10.121
 21.34 -10.100
 21.64 -10.080
 21.95 -10.059
 22.25 -10.039
 22.56 -10.019
 22.86 -10.000
 23.16  -9.981
 23.47  -9.962
 23.77  -9.944
 24.08  -9.926
 24.38  -9.908
 24.69  -9.891
 24.99  -9.874
 25.30  -9.858
 25.60  -9.843
 25.91  -9.828
 26.21  -9.813
 26.52  -9.799
 26.82  -9.786
 27.13  -9.773
 27.43  -9.760
 27.74  -9.747
 28.04  -9.734
 28.35  -9.722
 28.65  -9.710
 28.96  -9.698
 29.26  -9.687
 29.57  -9.675
 29.87  -9.664
 30.18  -9.653
 30.48  -9.643
 30.78  -9.632
 31.09  -9.622
 31.39  -9.612
 31.70  -9.602
 32.00  -9.592
 32.31  -9.583
 32.61  -9.573
 32.92  -9.564
 33.22  -9.554
 33.53  -9.545
 33.83  -9.536
 34.14  -9.527
 34.44  -9.519
 34.75  -9.511
 35.05  -9.502
 35.36  -9.494
 35.66  -9.487
 35.97  -9.479
 36.27  -9.471
 36.58  -9.464
 36.88  -9.456
 37.19  -9.448
 37.49  -9.441
 37.80  -9.434
 38.10  -9.426
 38.40  -9.419
 38.71  -9.411
 39.01  -9.404
 39.32  -9.397
 39.62  -9.390
 39.93  -9.383
 40.23  -9.376
 40.54  -9.369
 40.84  -9.362
 41.15  -9.356
 41.45  -9.349
 41.76  -9.343
 42.06  -9.337
 42.37  -9.330
 42.67  -9.324
 42.98  -9.318
 43.28  -9.312
 43.59  -9.306
 43.89  -9.300
 44.20  -9.294
 44.50  -9.289
 44.81  -9.283
 45.11  -9.277
 45.42  -9.272
