  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Ikpikpuk Test Well #1 
  File name:   IKP_89JUL06_c_d 
  Log date:    06-JUL-1989 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.80  -9.840
 13.01  -9.828
 13.21  -9.817
 13.41  -9.805
 13.61  -9.793
 13.82  -9.781
 14.02  -9.768
 14.22  -9.755
 14.43  -9.742
 14.63  -9.729
 14.83  -9.716
 15.04  -9.703
 15.24  -9.690
 15.44  -9.677
 15.65  -9.664
 15.85  -9.650
 16.05  -9.637
 16.26  -9.624
 16.46  -9.611
 16.66  -9.597
 16.87  -9.584
 17.07  -9.570
 17.27  -9.557
 17.48  -9.544
 17.68  -9.530
 17.88  -9.517
 18.09  -9.504
 18.29  -9.492
 18.49  -9.481
 18.69  -9.470
 18.90  -9.459
 19.10  -9.449
 19.30  -9.439
 19.51  -9.428
 19.71  -9.418
 19.91  -9.407
 20.32  -9.384
 20.52  -9.372
 20.73  -9.359
 20.93  -9.347
 21.13  -9.335
 21.34  -9.322
 21.54  -9.310
 21.74  -9.298
 21.95  -9.285
 22.56  -9.248
 22.76  -9.236
 22.96  -9.223
 23.17  -9.211
 23.37  -9.200
 23.57  -9.188
 23.77  -9.177
 23.98  -9.165
 24.18  -9.154
 24.38  -9.142
 24.59  -9.130
 24.79  -9.118
 24.99  -9.106
 25.20  -9.093
 25.40  -9.079
 25.60  -9.066
 25.81  -9.052
 26.01  -9.039
 26.21  -9.025
 26.42  -9.011
 26.62  -8.998
 26.82  -8.984
 27.03  -8.971
 27.23  -8.958
 27.43  -8.944
 27.64  -8.931
 27.84  -8.918
 28.04  -8.905
 28.25  -8.892
 28.45  -8.878
 28.65  -8.866
 28.85  -8.853
 29.06  -8.840
 29.26  -8.828
 29.46  -8.816
 29.67  -8.804
 29.87  -8.792
 30.07  -8.781
 30.28  -8.771
 30.48  -8.760
 30.68  -8.749
 30.89  -8.739
 31.09  -8.729
 31.29  -8.718
 31.50  -8.708
 31.70  -8.698
 31.90  -8.688
 32.11  -8.678
 32.31  -8.668
 32.51  -8.657
 32.72  -8.647
 32.92  -8.636
 33.12  -8.624
 33.33  -8.612
 33.53  -8.599
 33.73  -8.587
 33.93  -8.574
 34.14  -8.561
 34.34  -8.549
 34.54  -8.537
 34.75  -8.526
 34.95  -8.515
 35.15  -8.505
 35.36  -8.494
 36.17  -8.455
 36.37  -8.446
 36.58  -8.436
 36.78  -8.427
 36.98  -8.418
 37.19  -8.408
 37.39  -8.400
 37.59  -8.391
 37.80  -8.383
 38.00  -8.374
 38.20  -8.367
 38.41  -8.359
 38.61  -8.351
 38.81  -8.344
 39.01  -8.336
 39.22  -8.329
 39.42  -8.322
 39.62  -8.315
 39.83  -8.308
 40.03  -8.301
 40.23  -8.294
 40.44  -8.287
 40.64  -8.281
 40.84  -8.274
 41.05  -8.268
 41.25  -8.262
 41.45  -8.256
 41.66  -8.250
 41.86  -8.244
 42.06  -8.238
 42.27  -8.233
 42.47  -8.227
 42.67  -8.222
 42.88  -8.217
 43.08  -8.212
 43.28  -8.207
 43.49  -8.202
 43.69  -8.197
 43.89  -8.192
 44.09  -8.188
 44.30  -8.183
 44.50  -8.179
 44.70  -8.174
 44.91  -8.170
 45.11  -8.166
 45.31  -8.161
 45.52  -8.157
 45.72  -8.153
 45.92  -8.149
 46.13  -8.145
 46.33  -8.141
 46.53  -8.137
 46.74  -8.133
 46.94  -8.129
 47.14  -8.125
 47.35  -8.121
 47.55  -8.117
 47.75  -8.113
 47.96  -8.108
 49.38  -8.079
 49.58  -8.075
 49.78  -8.071
 49.99  -8.067
