  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Echooka Unit No. 1 
  File name:   EB1_75AUG15 
  Log date:    15-AUG-1975 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.24  -5.830
 18.29  -5.702
 21.34  -5.559
 24.38  -5.402
 27.43  -5.278
 30.48  -5.159
 33.53  -5.004
 36.58  -4.903
 39.62  -4.830
 42.67  -4.764
 45.72  -4.700
 48.77  -4.648
 51.82  -4.589
 54.86  -4.552
 57.91  -4.485
 60.96  -4.428
 64.01  -4.361
 67.06  -4.290
 70.10  -4.212
 73.15  -4.141
 76.20  -4.053
 79.25  -3.974
 82.30  -3.881
 85.34  -3.797
 88.39  -3.695
 91.44  -3.613
 94.49  -3.522
 97.54  -3.435
100.58  -3.349
103.63  -3.265
106.68  -3.205
109.73  -3.127
112.78  -3.046
115.82  -2.965
118.87  -2.774
121.92  -2.641
124.97  -2.552
128.02  -2.470
131.06  -2.413
134.11  -2.363
137.16  -2.316
140.21  -2.259
143.26  -2.200
146.30  -2.132
149.35  -2.072
152.40  -2.008
155.45  -1.927
158.50  -1.838
161.54  -1.763
164.59  -1.697
167.64  -1.619
170.69  -1.558
173.74  -1.496
176.78  -1.437
179.83  -1.368
182.88  -1.294
185.93  -1.244
188.98  -1.192
192.02  -1.137
195.07  -1.085
198.12  -1.023
201.17  -0.930
204.22  -0.829
207.26  -0.736
210.31  -0.603
213.36  -0.496
216.41  -0.406
219.46  -0.324
222.50  -0.255
225.55  -0.196
228.60  -0.167
231.65  -0.152
234.70  -0.147
237.74  -0.145
240.79  -0.138
243.84  -0.138
246.89  -0.139
249.94  -0.139
252.98  -0.126
256.03  -0.108
259.08  -0.065
262.13   0.002
265.18   0.075
268.22   0.155
271.27   0.266
274.32   0.344
277.37   0.429
280.42   0.518
283.46   0.604
286.51   0.698
289.56   0.782
292.61   0.852
295.66   0.925
298.70   1.000
301.75   1.085
304.80   1.154
