  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   J.W. Dalton Test Well #1 
  File name:   JWD_79SEP13 
  Log date:    13-SEP-1979 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 45.72  -5.675
 48.77  -5.390
 51.82  -5.161
 54.86  -4.995
 57.91  -4.880
 60.96  -4.847
 64.01  -4.651
 67.06  -4.334
 70.10  -3.934
 73.15  -3.556
 76.20  -3.291
 79.25  -2.937
 82.30  -2.708
 85.34  -2.559
 88.39  -2.397
 91.44  -2.263
 94.49  -2.128
 97.54  -2.014
100.58  -1.952
103.63  -1.891
106.68  -1.941
109.73  -2.018
112.78  -2.026
115.82  -2.125
118.87  -2.039
121.92  -2.377
124.97  -2.460
128.02  -2.475
131.06  -2.436
134.11  -2.351
137.16  -2.215
140.21  -1.937
143.26  -1.919
146.30  -2.063
149.35  -2.060
152.40  -2.031
155.45  -1.981
158.50  -1.901
161.54  -1.855
164.59  -1.763
167.64  -1.748
170.69  -2.148
173.74  -2.137
176.78  -2.104
179.83  -2.262
182.88  -2.600
185.93  -2.673
188.98  -2.521
192.02  -2.307
195.07  -2.221
198.12  -2.627
201.17  -2.683
204.22  -2.626
207.26  -2.657
210.31  -2.673
213.36  -2.668
216.41  -2.663
219.46  -2.759
222.50  -2.785
225.55  -2.755
228.60  -2.622
231.65  -2.478
234.70  -2.434
237.74  -2.409
240.79  -2.418
243.84  -2.374
246.89  -2.314
249.94  -2.581
252.98  -2.547
256.03  -2.425
259.08  -2.373
262.13  -2.399
265.18  -2.437
268.22  -2.447
271.27  -2.337
274.32  -2.245
277.37  -2.263
280.42  -2.242
283.46  -2.187
286.51  -2.067
289.56  -2.017
292.61  -1.960
295.66  -1.882
298.70  -1.874
301.75  -1.801
304.80  -1.757
307.85  -1.847
310.90  -1.895
313.94  -1.836
316.99  -1.739
320.04  -1.629
323.09  -1.507
326.14  -1.363
329.18  -1.209
332.23  -1.090
335.28  -0.895
338.33  -0.694
341.38  -0.418
344.42  -0.101
347.47   0.213
350.52   0.468
353.57   0.703
356.62   1.112
359.66   1.510
362.71   1.867
365.76   2.265
368.81   2.599
371.86   2.956
374.90   3.197
377.95   3.420
381.00   3.614
384.05   3.818
387.10   3.995
390.14   4.139
393.19   4.298
396.24   4.461
399.29   4.605
402.34   4.740
405.38   4.875
408.43   4.982
411.48   5.084
414.53   5.200
417.58   5.287
420.62   5.390
423.67   5.502
426.72   5.540
429.77   5.569
432.82   5.603
435.86   5.692
438.91   5.788
441.96   5.835
445.01   6.022
448.06   6.174
451.10   6.279
454.15   6.374
457.20   6.446
460.25   6.508
