  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Ikpikpuk Test Well #1 
  File name:   IKP_84AUG05a_c_d 
  Log date:    05-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 12.80  -9.969
 13.11  -9.910
 13.41  -9.850
 13.72  -9.793
 14.02  -9.739
 14.33  -9.689
 14.63  -9.640
 14.94  -9.592
 15.24  -9.544
 15.54  -9.496
 15.85  -9.449
 16.15  -9.403
 16.46  -9.356
 16.76  -9.309
 17.07  -9.263
 17.68  -9.175
 17.98  -9.133
 18.29  -9.093
 18.59  -9.055
 18.90  -9.020
 19.20  -8.987
 19.51  -8.956
 19.81  -8.926
 20.12  -8.897
 20.42  -8.869
 20.73  -8.841
 21.03  -8.812
 21.34  -8.783
 21.64  -8.752
 21.95  -8.722
 22.25  -8.692
 22.56  -8.663
 22.86  -8.634
 23.16  -8.605
 23.47  -8.577
 23.77  -8.550
 24.08  -8.523
 24.38  -8.497
 24.69  -8.471
 24.99  -8.446
 25.30  -8.421
 25.60  -8.397
 25.91  -8.374
 26.21  -8.353
 26.52  -8.334
 26.82  -8.315
 27.13  -8.296
 27.43  -8.279
 27.74  -8.262
 28.04  -8.245
 28.35  -8.228
 28.65  -8.210
 28.96  -8.192
 29.26  -8.174
 29.57  -8.157
 29.87  -8.140
 30.18  -8.124
 30.48  -8.108
 30.78  -8.093
 31.09  -8.080
 31.39  -8.067
 31.70  -8.055
 32.61  -8.023
 32.92  -8.013
 33.22  -8.004
 33.53  -7.996
 33.83  -7.988
 34.14  -7.980
 34.44  -7.973
 34.75  -7.966
 35.05  -7.960
 35.36  -7.954
 35.66  -7.948
 35.97  -7.942
 36.27  -7.936
 36.58  -7.930
 36.88  -7.924
 37.19  -7.919
 37.49  -7.914
 37.80  -7.908
 38.10  -7.903
 38.40  -7.898
 38.71  -7.892
 39.01  -7.887
 39.32  -7.881
 39.62  -7.876
 39.93  -7.871
 40.23  -7.866
 40.54  -7.861
 40.84  -7.857
 41.15  -7.852
 41.45  -7.848
 41.76  -7.844
 42.06  -7.840
 42.37  -7.836
 42.67  -7.832
 42.98  -7.828
 43.28  -7.824
 43.59  -7.820
 43.89  -7.817
 44.20  -7.813
 44.50  -7.809
 44.81  -7.805
 45.11  -7.802
 45.42  -7.798
 45.72  -7.794
 46.02  -7.791
 46.33  -7.787
 46.94  -7.780
 47.24  -7.776
 47.55  -7.772
 47.85  -7.768
 48.16  -7.765
 48.46  -7.761
 48.77  -7.757
 49.07  -7.753
 49.38  -7.749
 49.68  -7.745
 49.99  -7.741
 50.29  -7.737
 50.60  -7.733
 50.90  -7.729
 51.21  -7.725
 51.51  -7.720
 51.82  -7.716
 52.12  -7.712
 52.43  -7.708
 52.73  -7.703
 53.04  -7.699
 53.34  -7.695
 53.64  -7.690
 53.95  -7.686
 54.25  -7.682
 54.56  -7.677
 54.86  -7.672
 55.17  -7.667
 55.47  -7.662
 55.78  -7.657
 56.08  -7.652
 56.39  -7.646
 56.69  -7.641
 57.00  -7.635
 57.30  -7.629
 57.61  -7.623
 57.91  -7.616
 58.22  -7.609
 58.52  -7.602
 58.83  -7.595
 59.13  -7.588
 59.44  -7.581
 59.74  -7.574
 60.05  -7.567
 60.35  -7.560
 60.66  -7.553
 60.96  -7.546
 61.57  -7.532
 61.87  -7.526
 62.18  -7.519
 62.48  -7.512
 62.79  -7.506
 63.09  -7.500
 63.40  -7.493
 63.70  -7.487
 64.01  -7.481
 64.31  -7.475
 64.62  -7.468
 64.92  -7.462
 65.23  -7.456
 65.53  -7.449
 65.84  -7.442
 66.14  -7.436
 66.45  -7.429
 66.75  -7.423
 67.06  -7.416
 67.36  -7.409
 67.67  -7.403
 67.97  -7.396
 68.28  -7.390
 68.58  -7.383
 68.88  -7.376
 69.19  -7.370
 69.49  -7.363
 69.80  -7.356
 70.10  -7.349
 70.41  -7.343
 70.71  -7.336
 71.02  -7.329
 71.32  -7.322
 71.63  -7.314
 71.93  -7.307
 72.24  -7.300
 72.54  -7.292
 72.85  -7.285
 73.15  -7.277
 73.46  -7.270
 73.76  -7.262
 74.07  -7.254
 74.37  -7.246
 74.68  -7.238
 74.98  -7.231
 75.29  -7.223
 75.59  -7.215
 75.90  -7.208
 76.20  -7.200
 76.50  -7.192
 76.81  -7.184
 77.11  -7.176
 77.42  -7.168
 77.72  -7.160
 78.03  -7.152
 78.33  -7.144
 78.64  -7.136
 78.94  -7.128
 79.25  -7.120
 79.55  -7.112
 79.86  -7.104
 80.16  -7.096
 80.47  -7.088
 80.77  -7.080
 81.08  -7.072
 81.38  -7.065
 81.69  -7.057
 81.99  -7.050
 82.30  -7.042
 82.60  -7.035
 82.91  -7.029
 83.21  -7.022
 83.52  -7.015
 83.82  -7.008
 84.12  -7.000
 84.43  -6.993
 84.73  -6.986
 85.04  -6.978
 85.34  -6.970
 85.65  -6.962
 85.95  -6.953
 86.26  -6.945
 86.56  -6.936
 86.87  -6.927
 87.17  -6.917
 87.48  -6.907
 87.78  -6.897
 88.09  -6.887
 88.39  -6.876
 88.70  -6.866
 89.00  -6.856
 89.31  -6.845
 89.61  -6.835
 89.92  -6.825
 90.22  -6.815
 90.53  -6.805
 90.83  -6.795
 91.14  -6.785
 91.44  -6.776
 91.74  -6.766
 92.05  -6.757
 92.35  -6.747
 92.66  -6.738
 92.96  -6.729
 93.27  -6.719
 93.57  -6.710
 93.88  -6.701
 94.18  -6.691
 94.49  -6.681
 94.79  -6.671
 95.10  -6.661
 95.40  -6.651
 95.71  -6.640
 96.01  -6.630
 96.32  -6.619
 96.62  -6.608
 96.93  -6.598
 97.23  -6.587
 97.54  -6.575
 97.84  -6.564
 98.15  -6.553
 98.45  -6.542
 98.76  -6.530
 99.06  -6.519
 99.36  -6.507
 99.67  -6.496
 99.97  -6.485
100.28  -6.474
100.58  -6.462
100.89  -6.451
101.19  -6.439
101.50  -6.428
101.80  -6.416
102.11  -6.404
102.41  -6.393
102.72  -6.381
103.02  -6.369
103.33  -6.357
103.63  -6.346
103.94  -6.334
104.24  -6.322
104.55  -6.311
104.85  -6.299
105.16  -6.288
105.46  -6.276
105.77  -6.265
106.07  -6.253
106.38  -6.242
106.68  -6.231
106.98  -6.220
107.29  -6.209
107.59  -6.198
107.90  -6.187
108.20  -6.176
108.51  -6.165
108.81  -6.154
109.12  -6.143
109.42  -6.132
109.73  -6.120
110.03  -6.109
110.34  -6.097
110.64  -6.086
110.95  -6.074
111.25  -6.062
111.56  -6.050
111.86  -6.038
112.17  -6.025
112.47  -6.013
112.78  -6.001
113.08  -5.988
113.39  -5.976
113.69  -5.963
114.00  -5.951
114.30  -5.938
114.60  -5.925
114.91  -5.913
115.21  -5.900
115.52  -5.887
115.82  -5.874
116.13  -5.862
116.43  -5.849
116.74  -5.836
117.04  -5.823
117.35  -5.810
117.65  -5.797
117.96  -5.784
118.26  -5.771
118.57  -5.758
118.87  -5.745
119.18  -5.732
119.48  -5.719
119.79  -5.706
120.09  -5.693
120.40  -5.680
120.70  -5.667
121.01  -5.654
121.31  -5.641
121.62  -5.628
121.92  -5.615
122.53  -5.589
122.83  -5.576
123.14  -5.563
123.44  -5.551
123.75  -5.539
124.05  -5.527
124.36  -5.515
124.66  -5.503
124.97  -5.492
125.27  -5.481
125.58  -5.470
125.88  -5.459
126.19  -5.449
126.49  -5.440
126.80  -5.430
127.10  -5.421
127.41  -5.412
127.71  -5.403
128.02  -5.394
128.32  -5.384
128.63  -5.375
128.93  -5.366
129.24  -5.357
129.54  -5.348
129.84  -5.338
130.15  -5.329
130.45  -5.320
130.76  -5.311
131.06  -5.301
131.37  -5.292
131.67  -5.282
131.98  -5.273
132.28  -5.263
132.59  -5.254
132.89  -5.244
133.20  -5.235
133.50  -5.226
133.81  -5.217
134.11  -5.208
134.42  -5.199
134.72  -5.191
135.03  -5.182
135.33  -5.174
135.64  -5.165
135.94  -5.157
136.25  -5.149
136.55  -5.141
137.16  -5.125
137.46  -5.117
137.77  -5.109
138.07  -5.101
138.38  -5.092
138.68  -5.084
138.99  -5.076
139.29  -5.067
139.60  -5.059
139.90  -5.050
140.21  -5.041
140.51  -5.033
140.82  -5.024
141.12  -5.015
141.43  -5.006
141.73  -4.996
142.04  -4.987
142.34  -4.978
142.65  -4.969
142.95  -4.959
143.26  -4.950
143.56  -4.941
143.87  -4.932
144.17  -4.923
144.48  -4.913
144.78  -4.904
145.08  -4.895
145.39  -4.886
145.69  -4.877
146.00  -4.868
146.30  -4.858
146.61  -4.849
146.91  -4.840
147.22  -4.831
147.52  -4.822
147.83  -4.812
148.13  -4.803
148.44  -4.793
148.74  -4.784
149.05  -4.774
149.35  -4.764
149.66  -4.755
149.96  -4.745
150.27  -4.735
150.57  -4.725
150.88  -4.715
151.18  -4.705
151.49  -4.696
151.79  -4.686
152.10  -4.676
152.40  -4.666
152.70  -4.656
153.01  -4.646
153.31  -4.636
153.62  -4.626
153.92  -4.616
154.23  -4.606
154.53  -4.597
154.84  -4.587
155.14  -4.577
155.45  -4.567
155.75  -4.557
156.06  -4.547
156.36  -4.537
156.67  -4.527
156.97  -4.517
157.28  -4.508
157.58  -4.498
157.89  -4.489
158.19  -4.481
158.50  -4.472
158.80  -4.464
159.11  -4.456
159.41  -4.449
159.72  -4.441
160.02  -4.434
160.32  -4.428
160.63  -4.421
160.93  -4.415
161.24  -4.409
161.54  -4.404
161.85  -4.398
162.15  -4.393
162.46  -4.388
162.76  -4.383
163.07  -4.377
163.37  -4.372
163.68  -4.367
163.98  -4.362
164.29  -4.358
164.59  -4.353
164.90  -4.349
165.20  -4.345
165.51  -4.341
165.81  -4.337
166.12  -4.333
166.42  -4.329
166.73  -4.325
167.03  -4.321
167.34  -4.317
167.64  -4.312
167.94  -4.308
168.25  -4.303
168.55  -4.298
168.86  -4.292
169.16  -4.287
169.47  -4.281
169.77  -4.275
170.08  -4.268
170.38  -4.261
170.69  -4.254
170.99  -4.247
171.30  -4.239
171.60  -4.232
171.91  -4.223
172.21  -4.215
172.52  -4.206
172.82  -4.198
173.13  -4.189
173.43  -4.180
173.74  -4.170
174.04  -4.160
174.35  -4.150
174.65  -4.140
174.96  -4.129
175.26  -4.118
175.56  -4.106
175.87  -4.094
176.17  -4.082
176.48  -4.070
176.78  -4.058
177.09  -4.045
177.39  -4.033
177.70  -4.021
178.00  -4.009
178.31  -3.997
178.61  -3.984
178.92  -3.972
179.22  -3.960
179.53  -3.948
179.83  -3.935
180.14  -3.923
180.44  -3.911
180.75  -3.899
181.05  -3.888
181.36  -3.876
181.66  -3.864
181.97  -3.852
182.27  -3.840
182.58  -3.829
182.88  -3.817
183.18  -3.805
183.49  -3.794
183.79  -3.782
184.10  -3.771
184.40  -3.760
184.71  -3.749
185.01  -3.738
185.32  -3.728
185.62  -3.718
185.93  -3.707
186.23  -3.697
186.54  -3.687
186.84  -3.677
187.15  -3.667
187.45  -3.657
188.06  -3.637
188.37  -3.628
188.67  -3.618
188.98  -3.609
189.28  -3.599
189.59  -3.590
189.89  -3.580
190.20  -3.571
190.50  -3.561
190.80  -3.552
191.11  -3.543
191.41  -3.534
191.72  -3.526
192.02  -3.517
192.33  -3.509
192.63  -3.502
192.94  -3.494
193.24  -3.486
193.55  -3.479
193.85  -3.472
194.16  -3.465
194.46  -3.458
194.77  -3.452
195.07  -3.445
195.38  -3.439
195.68  -3.433
195.99  -3.427
196.29  -3.421
196.60  -3.416
196.90  -3.411
197.21  -3.406
197.51  -3.401
197.82  -3.396
198.12  -3.392
198.42  -3.388
198.73  -3.384
199.03  -3.380
199.34  -3.377
199.64  -3.374
199.95  -3.372
200.25  -3.369
200.56  -3.367
200.86  -3.365
201.17  -3.362
201.47  -3.360
201.78  -3.358
202.08  -3.355
202.39  -3.353
202.69  -3.350
203.00  -3.347
203.30  -3.345
203.61  -3.342
203.91  -3.339
204.22  -3.336
204.52  -3.333
204.83  -3.330
205.13  -3.327
205.44  -3.323
205.74  -3.320
206.04  -3.316
206.35  -3.313
206.65  -3.309
206.96  -3.305
207.26  -3.301
207.87  -3.293
208.18  -3.289
208.48  -3.285
208.79  -3.280
209.09  -3.275
209.40  -3.270
209.70  -3.264
210.01  -3.259
210.62  -3.247
210.92  -3.241
211.23  -3.236
211.53  -3.230
211.84  -3.224
212.14  -3.219
212.45  -3.213
