  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Peard Bay Test Well #1 
  File name:   PEA_81AUG29 
  Log date:    29-AUG-1981 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -8.138
 33.53  -8.107
 36.58  -8.068
 39.62  -8.024
 42.67  -7.970
 45.72  -7.919
 48.77  -7.842
 51.82  -7.783
 54.86  -7.706
 57.91  -7.632
 60.96  -7.567
 64.01  -7.496
 67.06  -7.408
 70.10  -7.319
 73.15  -7.222
 76.20  -7.128
 79.25  -7.036
 82.30  -6.945
 85.34  -6.828
 88.39  -6.728
 91.44  -6.621
 94.49  -6.496
 97.54  -6.376
100.58  -6.258
103.63  -6.154
106.68  -6.067
109.73  -5.964
112.78  -5.883
115.82  -5.785
118.87  -5.690
121.92  -5.602
124.97  -5.506
128.02  -5.403
131.06  -5.312
134.11  -5.217
137.16  -5.131
140.21  -5.054
143.26  -4.956
146.30  -4.865
149.35  -4.762
152.40  -4.636
155.45  -4.527
158.50  -4.423
161.54  -4.355
164.59  -4.268
167.64  -4.189
170.69  -4.117
173.74  -4.036
176.78  -3.966
179.83  -3.895
182.88  -3.813
185.93  -3.721
188.98  -3.644
192.02  -3.552
195.07  -3.467
198.12  -3.306
201.17  -3.273
204.22  -3.182
207.26  -3.055
210.31  -2.964
213.36  -2.843
216.41  -2.728
219.46  -2.603
222.50  -2.490
225.55  -2.332
228.60  -2.201
231.65  -2.085
234.70  -1.953
237.74  -1.838
240.79  -1.719
243.84  -1.625
246.89  -1.537
249.94  -1.417
252.98  -1.315
256.03  -1.210
259.08  -1.067
262.13  -0.971
265.18  -0.875
268.22  -0.779
271.27  -0.686
274.32  -0.598
277.37  -0.476
280.42  -0.379
283.46  -0.199
286.51  -0.170
289.56  -0.074
292.61   0.018
295.66   0.097
298.70   0.180
301.75   0.258
304.80   0.353
307.85   0.430
310.90   0.509
313.94   0.584
316.99   0.675
320.04   0.754
323.09   0.847
326.14   0.934
329.18   1.031
332.23   1.119
335.28   1.221
338.33   1.311
341.38   1.449
344.42   1.529
347.47   1.617
350.52   1.687
353.57   1.776
356.62   1.859
359.66   1.940
362.71   2.047
365.76   2.142
368.81   2.243
371.86   2.343
374.90   2.434
377.95   2.544
381.00   2.632
384.05   2.720
387.10   2.802
390.14   2.897
393.19   2.990
396.24   3.056
399.29   3.157
402.34   3.219
405.38   3.296
408.43   3.403
411.48   3.489
414.53   3.585
417.58   3.691
420.62   3.771
423.67   3.865
426.72   3.960
429.77   4.044
432.82   4.164
435.86   4.237
438.91   4.333
441.96   4.418
445.01   4.520
448.06   4.617
451.10   4.706
454.15   4.790
457.20   4.863
460.25   4.954
463.30   5.043
466.34   5.121
469.39   5.212
472.44   5.285
475.49   5.377
478.54   5.464
481.58   5.556
484.63   5.643
487.68   5.725
490.73   5.823
493.78   5.912
496.82   6.008
499.87   6.107
502.92   6.204
505.97   6.343
509.02   6.417
512.07   6.525
515.11   6.630
518.16   6.726
521.21   6.825
524.26   6.923
527.31   7.007
530.35   7.089
533.40   7.202
536.45   7.314
539.50   7.426
542.55   7.522
545.59   7.611
548.64   7.694
551.69   7.775
