  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kuyanak Test Well #1 
  File name:   KUY_84AUG02_c_d 
  Log date:    02-AUG-1984 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 15.54  -8.874
 15.85  -8.861
 16.15  -8.847
 16.46  -8.835
 16.76  -8.825
 17.07  -8.816
 17.37  -8.807
 17.68  -8.800
 17.98  -8.792
 18.29  -8.784
 18.59  -8.777
 18.90  -8.770
 19.20  -8.763
 19.51  -8.756
 19.81  -8.749
 20.12  -8.743
 20.42  -8.737
 20.73  -8.731
 21.03  -8.726
 21.34  -8.721
 21.64  -8.717
 21.95  -8.712
 22.25  -8.708
 22.56  -8.704
 22.86  -8.700
 23.16  -8.696
 23.47  -8.692
 23.77  -8.689
 24.08  -8.685
 24.38  -8.682
 24.69  -8.679
 24.99  -8.675
 25.30  -8.672
 25.60  -8.669
 25.91  -8.665
 26.21  -8.662
 26.52  -8.658
 26.82  -8.654
 27.13  -8.650
 27.43  -8.646
 27.74  -8.642
 28.04  -8.639
 28.35  -8.635
 28.65  -8.631
 28.96  -8.627
 29.26  -8.624
 29.57  -8.620
 29.87  -8.617
 30.18  -8.614
 30.48  -8.611
 30.78  -8.607
 31.09  -8.604
 31.39  -8.601
 31.70  -8.598
 32.00  -8.595
 32.31  -8.592
 32.61  -8.588
 32.92  -8.585
 33.22  -8.582
 33.53  -8.579
 33.83  -8.576
 34.14  -8.573
 34.44  -8.569
 34.75  -8.566
 35.05  -8.563
 35.36  -8.559
 35.66  -8.556
 35.97  -8.552
 36.27  -8.549
 36.58  -8.546
 36.88  -8.542
 37.19  -8.539
 37.49  -8.535
 37.80  -8.532
 38.10  -8.528
 38.40  -8.524
 38.71  -8.521
 39.01  -8.517
 39.32  -8.514
 39.62  -8.510
 39.93  -8.506
 40.23  -8.502
 40.54  -8.499
 40.84  -8.495
 41.15  -8.491
 41.45  -8.487
 41.76  -8.484
 42.06  -8.480
 42.37  -8.476
 42.67  -8.472
 42.98  -8.468
 43.28  -8.464
 43.59  -8.461
 43.89  -8.457
 44.20  -8.453
 44.50  -8.449
 44.81  -8.445
 45.11  -8.442
 45.42  -8.438
 45.72  -8.434
 46.02  -8.430
 46.33  -8.426
 46.63  -8.423
 46.94  -8.419
 47.24  -8.415
 47.55  -8.411
 47.85  -8.408
 48.16  -8.404
 48.46  -8.400
 48.77  -8.397
 49.07  -8.393
 49.38  -8.389
 49.68  -8.386
 49.99  -8.382
 50.29  -8.379
 50.60  -8.375
 50.90  -8.372
 51.21  -8.369
 51.51  -8.366
 51.82  -8.363
 52.12  -8.360
 52.43  -8.356
 52.73  -8.353
 53.04  -8.350
 53.34  -8.347
 53.64  -8.343
