  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Lisburne Test Well #1 
  File name:   LBN_83SEP01 
  Log date:    01-SEP-1983 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (°C) 
________________________________________________ 
             
 Depth  Temperature 
 30.48  -4.534
 33.53  -4.572
 36.58  -4.581
 39.62  -4.581
 42.67  -4.567
 45.72  -4.534
 48.77  -4.514
 51.82  -4.477
 54.86  -4.439
 57.91  -4.352
 60.96  -4.296
 64.01  -4.219
 67.06  -4.157
 70.10  -4.109
 73.15  -4.055
 76.20  -4.006
 79.25  -3.950
 82.30  -3.898
 85.34  -3.844
 88.39  -3.804
 91.44  -3.714
 94.49  -3.652
 97.54  -3.602
100.58  -3.516
103.63  -3.468
106.68  -3.414
109.73  -3.290
112.78  -3.251
115.82  -3.215
118.87  -3.165
121.92  -3.129
124.97  -3.048
128.02  -3.020
131.06  -2.961
134.11  -2.921
137.16  -2.874
140.21  -2.821
143.26  -2.768
146.30  -2.704
149.35  -2.650
152.40  -2.583
155.45  -2.553
158.50  -2.478
161.54  -2.428
164.59  -2.383
167.64  -2.339
170.69  -2.304
173.74  -2.183
176.78  -2.141
179.83  -2.111
182.88  -2.049
185.93  -1.947
188.98  -1.840
192.02  -1.758
195.07  -1.610
198.12  -1.500
201.17  -1.413
204.22  -1.329
207.26  -1.234
210.31  -1.064
213.36  -0.996
216.41  -0.932
219.46  -0.901
222.50  -0.881
225.55  -0.821
228.60  -0.797
231.65  -0.773
237.74  -0.657
240.79  -0.546
243.84  -0.411
246.89  -0.315
249.94  -0.232
252.98  -0.151
256.03  -0.094
259.08  -0.025
262.13   0.051
265.18   0.125
268.22   0.201
271.27   0.261
274.32   0.338
277.37   0.416
280.42   0.492
283.46   0.572
286.51   0.647
289.56   0.723
292.61   0.803
295.66   0.872
298.70   0.943
301.75   1.021
304.80   1.084
307.85   1.158
310.90   1.229
313.94   1.302
316.99   1.380
320.04   1.451
323.09   1.524
326.14   1.598
329.18   1.673
332.23   1.745
335.28   1.806
338.33   1.873
341.38   1.943
344.42   2.006
347.47   2.070
350.52   2.140
353.57   2.191
356.62   2.251
359.66   2.320
362.71   2.383
365.76   2.443
368.81   2.504
371.86   2.572
374.90   2.633
377.95   2.695
381.00   2.763
384.05   2.822
387.10   2.883
390.14   2.951
393.19   3.013
396.24   3.077
399.29   3.141
402.34   3.203
405.38   3.269
408.43   3.332
411.48   3.388
414.53   3.453
417.58   3.520
420.62   3.577
423.67   3.638
426.72   3.701
429.77   3.758
432.82   3.820
435.86   3.892
438.91   3.942
441.96   4.016
445.01   4.067
448.06   4.128
451.10   4.190
454.15   4.248
457.20   4.321
460.25   4.371
463.30   4.434
466.34   4.487
469.39   4.545
472.44   4.610
475.49   4.681
478.54   4.733
481.58   4.793
484.63   4.855
487.68   4.933
493.78   5.050
496.82   5.115
499.87   5.181
502.92   5.235
505.97   5.307
509.02   5.382
512.07   5.437
