  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    20-Feb-2015 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Canning River Unit A1 
  File name:   CNR_74AUG29 
  Log date:    29-AUG-1974 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
________________________________________________ 
             
 Depth  Temperature 
  9.14  -4.107
 12.19  -3.895
 15.24  -3.573
 18.29  -3.411
 21.34  -2.706
 24.38  -2.287
 27.43  -1.807
 30.48  -1.329
 33.53  -1.036
 36.58  -0.835
 39.62  -0.617
 42.67  -0.556
 45.72  -0.546
 48.77  -0.620
 51.82  -0.597
 54.86  -0.557
 57.91  -0.542
 60.96  -0.586
 64.01  -0.700
 67.06  -0.794
 70.10  -0.762
 73.15  -0.622
 76.20  -0.557
 79.25  -0.518
 82.30  -0.509
 85.34  -0.465
 88.39  -0.405
 91.44  -0.384
 94.49  -0.379
 97.54  -0.330
100.58  -0.271
103.63  -0.213
106.68  -0.128
109.73  -0.062
112.78   0.028
115.82   0.095
118.87   0.192
121.92   0.263
124.97   0.341
128.02   0.436
131.06   0.558
134.11   0.675
137.16   0.777
140.21   0.856
143.26   0.971
146.30   1.026
149.35   1.195
152.40   1.336
155.45   1.482
158.50   1.646
161.54   1.773
164.59   1.890
167.64   2.002
170.69   2.097
173.74   2.184
176.78   2.246
179.83   2.299
182.88   2.331
185.93   2.348
188.98   2.376
192.02   2.446
195.07   2.524
198.12   2.624
201.17   2.754
204.22   2.840
207.26   2.960
210.31   3.046
213.36   3.139
216.41   3.236
219.46   3.324
222.50   3.421
225.55   3.525
228.60   3.604
231.65   3.689
234.70   3.769
237.74   3.863
240.79   3.940
243.84   4.040
246.89   4.116
249.94   4.237
252.98   4.353
256.03   4.475
259.08   4.573
262.13   4.665
265.18   4.738
268.22   4.818
271.27   4.861
274.32   5.268
277.37   5.307
280.42   5.368
283.46   5.400
286.51   5.466
289.56   5.522
292.61   5.582
295.66   5.640
298.70   5.724
301.75   5.797
304.80   5.857
307.85   5.920
310.90   5.989
313.94   6.051
316.99   6.114
320.04   6.169
323.09   6.235
326.14   6.277
329.18   6.367
332.23   6.418
335.28   6.480
338.33   6.527
341.38   6.590
344.42   6.637
347.47   6.689
350.52   6.742
